Gene,Chr,LD4,LD5,LD6,M,YR,ET,MT,LT,ES,S,LS,GD4,GD6,GD10F,GD10M,MIS,MFS,Haplo,ManualScore,TargetID
PF3D7_0107400,chr1,79525.4,55620.872,84788.025,11808.642,6746.4,3969.907,10831.661,24450.88,20918.898,13843.237,15058.497,31248.196,27852.866,26451.425,4904.5226,1,-2.433,33,0,
PF3D7_0107500,chr1,51393.612,49936.685,40243.262,270339.0483,217137.771,178015.974,131241.236,64012.583,40723.785,49751.969,142267.19,54143.733,40709.447,34587.319,66621.4085,0.261,-2.596,390,387.75,tr|K7ERM4|K7ERM4_HUMAN
PF3D7_0107600,chr1,37491.659,8961.713,4768.107,2810.1263,259.297,111.735,267.45,530.589,1213.774,2067.735,2203.593,4856.876,2645.165,2583.831,12522.5279,1,-2.835,943,219.4374922,tr|A0A7P0TAL9|A0A7P0TAL9_HUMAN
PF3D7_0107700,chr1,0,2075.281,2645.359,2787.40765,967.388,1845.232,11790.311,11067.442,10157.669,5987.994,7043.812,22513.189,25873.927,30639.945,37022.871,0.479,-1.084,122,0,
PF3D7_0107800,chr1,32386.766,24191.209,38031.407,11895.003,2612.53,14551.762,35460.93,40375.184,38439.231,34858.083,20709.102,7435.593,5711.443,6675.521,2872.5222,1,-0.289,896,786.7009732,tr|F8W7U8|F8W7U8_HUMAN
PF3D7_0107900,chr1,22724.019,44411.585,65560.18,7329.45695,6431.925,37166.508,50359.864,41762.911,22959.964,17858.977,10725.243,38530.926,39803.518,22026.849,69674.6133,0.124,-3.186,96,0,
PF3D7_0108000,chr1,213216.294,101546.97,105079.165,69995.4083,56246.028,86011.324,150770.77,248315.113,244624.751,168021.491,114870.428,112151.954,90950.944,77607.941,17911.4179,0.123,-3.212,19,4357.750459,sp|P49720|PSB3_HUMAN
PF3D7_0108100,chr1,7593.867,10871.992,16642.616,5177.7642,709.589,1856.66,7336.592,10706.011,12869.595,8061.692,6872.089,10067.143,16766.664,36836.006,2434.0952,0.133,-2.879,213,0,
PF3D7_0108300,chr1,39763.961,47896.857,52632.771,231421.864,234095.394,275158.329,193590.648,136214.685,120415.404,151385.314,140276.695,141483.833,148619.341,83898.263,155564.8107,1,-2.611,972,112.5632148,sp|Q9H2G4|TSYL2_HUMAN
PF3D7_0108400,chr1,2413.748,11639.05,17716.808,51878.3275,18153.38,16511.146,17696.642,15510.838,16224.461,9547.783,16841.053,32153.007,38500.788,41646.92,14781.3262,1,-2.123,74,1727.282424,sp|Q8TBP6|S2540_HUMAN
PF3D7_0108500,chr1,138.514,1636.307,618.058,1634764.239,735359.412,170232.226,33633.555,19614.95,32273.603,60919.398,544275.511,92781.708,117710.593,230625.432,47715.8542,1,0,269,1508.363128,sp|P26436|ASPX_HUMAN
PF3D7_0108600,chr1,65445.477,37863.374,29870.35,1995630.571,893767.638,209393.474,51454.066,43150.316,58868.232,84410.725,671200.995,107396.558,132361.126,194497.439,66116.4492,0.12,-3.19,165,0,
PF3D7_0108700,chr1,24027.689,25546.57,33059.257,22883.5481,22976.53,34522.322,27832.8,48023.81,49857.133,44420.464,27238.381,55587.038,50704.131,60881.427,62398.351,1,0.113,482,0,
PF3D7_0108800,chr1,3002.345,14244.041,15542.573,14766.03145,5848.099,9805.577,15980.849,24942.815,27685.296,19370.074,19042.722,34747.261,66787.93,174545.449,76720.1498,0.143,-3.102,63,0,
PF3D7_0108900,chr1,2304.551,811.8,56.706,,,,,,,,,,,,,,,5,0,
PF3D7_0109000,chr1,42608.15,5728.601,2380.491,262839.754,31446.421,4268.362,2447.867,10658.331,63118.165,119223.302,350685.562,184852.689,224779.636,88270.251,119909.6525,0.122,-3.121,25,0,
PF3D7_0109100,chr1,0,848.046,2140.93,73445.47975,5554.242,592.307,619.425,2812.069,15505.877,20030.556,60557.179,140877.724,190076.623,176920.171,42662.7187,1,-2.243,221,301.2603499,tr|H3BTI0|H3BTI0_HUMAN
PF3D7_0109200,chr1,47204.658,120169.314,121010.957,10349.85565,4482.458,16320.559,31394.635,36995.221,35012.382,25187.527,17193.287,97773.1,74943.921,58665.931,14613.7172,0.125,-3.001,39,2672.443103,sp|O43809|CPSF5_HUMAN
PF3D7_0109300,chr1,57670.457,126816.839,130796.054,6495.00635,1173.942,3189.298,11471.692,15378.02,20097.507,9115.166,12521.21,38287.738,30849.869,39915.648,5680.8253,0.168,-2.779,55,2608.675155,sp|Q9H5J4|ELOV6_HUMAN
PF3D7_0109400,chr1,148311.856,145672.821,198888.311,25956.45055,5566.04,27107.01,83390.657,64674.611,47695.966,36901.848,32946.51,393920.387,410056.293,131544.872,153330.7523,0.24,-3.364,72,1445.795181,sp|O75347|TBCA_HUMAN
PF3D7_0109500,chr1,13744.502,31322.688,30128.062,16382.29135,31978.418,49671.38,38233.129,37630.088,29882.303,26855.932,19600.288,93035.407,98166.678,209883.191,61679.376,0.659,-2.369,19,4516.149677,sp|P61599|NAA20_HUMAN
PF3D7_0109600,chr1,30905.062,141913.701,98585.632,10663.25545,19049.92,14550.311,34175.945,21104.638,12847.296,11895.911,9259.072,21732.62,24226.226,32748.131,0,0.247,-3.269,45,1266.664667,tr|H3BPY5|H3BPY5_HUMAN
PF3D7_0109700,chr1,91787.809,50177.551,46372.476,16995.61425,58706.671,41827.445,21417.073,17249.952,16008.271,19032.407,11169.379,767.189,1146.768,1936.561,0,0.157,-2.586,37,2896.131148,sp|Q96EU6|RRP36_HUMAN
PF3D7_0109800,chr1,63669.473,55111.193,75933.762,26978.21355,51828.041,67042.107,46049.936,57873.55,51862.658,50783.096,25216.281,26227.952,28556.712,26013.944,27452.8214,0.143,-3.147,190,3652.173913,sp|Q9Y285|SYFA_HUMAN
PF3D7_0109850,chr1,26522.963,123732.831,176350.71,6744.02885,3589.788,3732.319,5448.459,14485.539,18393.448,11333.255,10243.314,176796.298,186793.273,240463.302,41530.2028,,,263,1107.386913,sp|Q9UPQ8|DOLK_HUMAN
PF3D7_0109950,chr1,52131.925,17095.526,20729.128,17039.36255,3755.224,10848.179,27855.855,51672.05,48924.441,38421.523,26285.223,389199.385,504172.864,613620.225,165374.2818,,,46,0,
PF3D7_0110000,chr1,113432.749,74323.084,101930.092,28907.7897,14500.538,20217.868,42159.176,61790.3,53142.777,45737.726,27916.943,2660052.606,1686208.616,1548410.462,372210.4151,1,-1.016,107,0,
PF3D7_0110100,chr1,10927.306,18484.137,20897.487,8298.927,17120.794,16678.803,23012.847,23906.427,24573.112,16943.202,12723.41,1347732.955,1128192.665,1236123.584,249120.8968,1,-2.697,178,513.9169165,tr|C9J8T0|C9J8T0_HUMAN
PF3D7_0110200,chr1,66790.193,29591.256,36091.291,6895.3538,8788.082,20049.077,21081.995,24528.56,30850.788,13937.826,15194.798,12046.339,15361.656,16894.373,20524.5546,0.208,-2.71,27,2587.434965,tr|H3BQQ4|H3BQQ4_HUMAN
PF3D7_0110400,chr1,74962.099,66394.664,87777.672,30232.59055,68280.747,78618.242,79426.725,83821.74,87886.208,45450.877,39891.123,114654.444,134053.472,114675.255,20206.5504,0.486,-2.733,54,1726.903213,sp|P36954|RPB9_HUMAN
PF3D7_0110500,chr1,31751.67,31474.579,43089.769,10509.3106,5720.558,19684.05,24299.317,24940.649,17169.24,16927.608,12321.65,57770.776,57232.285,29066.732,59683.8869,1,-2.257,377,0,
PF3D7_0110600,chr1,28425.562,23872.097,27997.981,85184.7605,57517.841,36998.149,32866.32,35933.156,48721.876,57430.389,61599.79,60018.532,75671.094,109349.797,79871.4421,0.2,-2.765,343,608.1810526,tr|A6PW57|A6PW57_HUMAN
PF3D7_0110700,chr1,34347.811,85830.689,71315.827,37429.70075,10607.756,14264.103,113183.747,90218.072,66793.919,58781.042,49311.404,77443.412,62765.132,23835.328,111753.0502,0.157,-3.013,78,2982.069955,sp|Q09028|RBBP4_HUMAN
PF3D7_0110800,chr1,5349.532,17740.884,17930.965,65862.48655,59583.658,86089.769,94046.013,63643.312,53195.057,62328.659,83654.468,288676.517,205573.16,144765.969,250045.4346,0.199,-3.59,28,1989.06703,sp|Q00403|TF2B_HUMAN
PF3D7_0110900,chr1,183925.375,52563.911,85484.962,5886.4611,20972.893,38644.181,44167.107,21031.438,15009.876,9518.455,8012.974,115868.589,76112.861,48967.005,237023.6681,0.12,-3.014,62,3279.522581,sp|Q9Y3D8|KAD6_HUMAN
PF3D7_0111000,chr1,1757.833,10314.461,14743.269,19810.3517,1939.358,1213.484,8482.495,24193.263,30536.791,31517.48,30008.062,114701.829,130552.047,52494.552,900770.6962,1,-2.224,742,1207.925841,sp|Q2TAC6|KIF19_HUMAN
PF3D7_0111200,chr1,14705.741,22607.835,31108.993,3415.276,461.679,931.814,9197.583,11925.799,12430.431,8624.276,7424.624,11314.164,11090.212,5750.502,58151.244,0.339,0,17,0,
PF3D7_0111300,chr1,61423.019,61065.738,68998.723,13665.8716,1966.791,8000.988,41699.391,66743.893,45183.178,42547.278,19448.773,12109.005,16386.391,15206.83,27791.4779,0.812,-2.874,540,1011.150728,tr|A0A0D9SF58|A0A0D9SF58_HUMAN
PF3D7_0111400,chr1,62590.235,37519.299,52196.934,14864.7271,1624.664,5032.994,25079.255,40460.858,50157.863,41375.453,25016.527,16842.039,10722.203,14696.924,5312.0793,0.126,-3.209,197,0,
PF3D7_0111500,chr1,9757.782,15772.204,20672.875,52155.82755,6462.534,9832.505,55126.163,77273.235,82593.345,78200.29,100479.068,15977.256,14366.687,9903.027,41486.2555,0.12,-3.031,92,1239.902156,sp|P30085|KCY_HUMAN
PF3D7_0111600,chr1,31663.783,12646.224,18152.079,2657.1907,2885.685,12050.093,13839.617,11536.918,5028.185,2960.107,3426.322,5829.292,8842.25,7453.318,0,0.435,-3.525,89,0,
PF3D7_0111700,chr1,32632.315,27469.526,33826.959,124.1724,21.195,276.587,236.187,216.189,0,186.041,71.385,655.521,197.256,798.325,0,0.916,-3.898,22,0,
PF3D7_0111800,chr1,20508.096,32891.063,38639.61,15870.11605,8779.813,36507.331,51811.183,45579.348,41654.288,30967.275,22915.301,23332.38,19621.064,24959.894,22382.0616,1,0.607,172,564.5062903,tr|C9JEL3|C9JEL3_HUMAN
PF3D7_0111900,chr1,676.679,10568.57,34722.595,39998.0115,21910.941,49379.408,102239.276,140782.056,116818.498,76526.782,60006.829,48920.766,36664.953,25150.081,67618.5291,0.121,0,9,2345.649383,sp|O43715|TRIA1_HUMAN
PF3D7_0112000,chr1,60116.412,79204.575,76785.82,4324.00065,10912.685,18112.219,21915.486,26080.077,14584.13,9554.851,6839.764,9682.554,9151.64,7022.127,27128.1035,0.121,-3.108,39,1946.309396,tr|A0A0D9SGD3|A0A0D9SGD3_HUMAN
PF3D7_0112100,chr1,,,,21768.69315,10893.381,6671.445,1594.087,1593.462,2405.474,1148.082,7729.278,1510.57,4886.232,11709.08,9857.5624,0.754,-2.189,15,0,
PF3D7_0112200,chr1,849.284,1641.28,1312.366,8175.9778,3897.049,36893.505,74243.135,60073.194,29503.177,19339.346,14526.409,5773.282,7878.559,2001.329,14293.2835,1,-1.001,210,784.8534577,tr|A0A0A0MS99|A0A0A0MS99_HUMAN
PF3D7_0112300,,8354.534,4013.995,6079.012,,,,,,,,,,,,,,,,0,
PF3D7_0112500,,137063.585,68517.897,75008.978,,,,,,,,,,,,,,,,0,
PF3D7_0112700,chr1,386708.948,35145.815,82229.62,,,,,,,,,,,,,,,1,0,
PF3D7_0112800,chr1,58823.821,42806.305,46584.014,4502.3659,21306.431,1479.652,869.16,4810.795,9677.679,7644.054,7268.446,11838.391,9741.54,21132.661,0,0.559,-2.078,60,0,
PF3D7_0112900,chr1,5895.07,4636.301,5048.989,11154.00195,20422.329,53266.728,20154.883,6298.537,5276.271,8872.556,11136.467,2008.559,2563.359,3161.876,0,0.995,-2.003,38,0,
PF3D7_0113000,chr1,145651.923,121520.036,97418.8,164921.7468,806164.313,2178281.016,958311.315,276360.196,177804.756,356116.421,88084.722,519.687,1895.873,2514.85,330.4248,1,-2.159,898,0,
PF3D7_0113100,chr1,0,971.305,1168.956,1747.8236,437.135,824.153,465.647,428.384,2427.828,4207.027,2879.946,1190.747,4992.289,6390.941,22270.9158,1,0.981,3657,0,
PF3D7_0113200,chr1,1655.523,7802.05,36120.463,2826.3483,492.332,11071.868,13232.348,4464.789,6212.135,5370.509,3282.514,8564.15,9683.425,23379.011,10822.2946,1,-1.287,1861,0,
PF3D7_0113300,chr1,0,14510.847,10013.525,401.0555,5975.81,1752.543,129.673,158.859,342.554,291.642,633.092,8779.138,4882.805,9362.339,0,0.952,-2.159,735,0,
PF3D7_0113400,chr1,,,,364.43315,22.518,43.963,49.842,40.121,322.289,318.788,480.197,614.511,4591.739,4199.805,6102.7848,0.987,-2.317,219,0,
PF3D7_0113600,chr1,0,227.369,383.214,,,,,,,,,,,,,1,-1.467,,0,
PF3D7_0113700,chr1,137.767,2412.401,846.395,56673.98215,131073.673,105007.97,17810.766,10037.391,25487.671,17295.022,26887.848,9242.896,17877.233,11340.461,5796.4828,1,-0.674,97,2960.168408,sp|Q9UDY4|DNJB4_HUMAN
PF3D7_0113800,chr1,0,0,15.048,1520.8631,678.764,602.495,670.265,972.065,2354.076,1581.356,1547.586,371.666,554.271,1012.719,60.3078,1,-2.076,118,0,
PF3D7_0113900,chr1,46843.09,21397.702,24519.005,17421.61435,98504.163,46532.918,7738.346,11422.478,16717.381,10108.955,14124.795,79646.934,64358.857,147861.143,153785.6915,0.256,-2.691,87,0,
PF3D7_0114000,chr1,0,11.867,2289.421,28016.7166,3590.43,2259.204,1836.993,3807.757,19363.622,40638.719,27640.604,310504.424,121585.072,51924.551,76008.1356,1,-1.456,246,806.5596719,sp|Q15149|PLEC_HUMAN
PF3D7_0114100,chr1,,,,3676.62795,642.919,44241.839,45277.787,5968.644,5647.235,5395.805,4444.637,42307.414,21538.753,8186.448,10196.7622,1,0.315,37,0,
PF3D7_0114200,chr1,,,,1042.27085,124.284,168.011,3318.036,2299.824,2701.583,1689.06,845.225,0,0,677.417,0,1,-1.199,190,0,
PF3D7_0114300,chr1,0,125.967,16.724,,,,,,,,,,,,,0.476,-3.206,,0,
