Chr,Gene,Ring,ET,LT,Schizont,GII,GV,MIS,MFS,Number_of_Haplotypes,Number_of_Haplotypes_Above_25_Samples
chr1,PF3D7_0109400,23.3467,45.4044,68.7141,26.8273,2769.4464,1746.2821,0.24,-3.364,72,4
chr1,PF3D7_0109500,108.1284,388.9605,360.4842,279.9072,592.5931,1584.3836,0.659,-2.369,19,1
chr1,PF3D7_0109600,70.8906,46.4964,27.2884,6.7439,335.2846,383.5333,0.247,-3.269,45,3
chr1,PF3D7_0109700,114.6424,94.6423,29.2291,3.7837,168.741,335.4171,0.157,-2.586,37,4
chr1,PF3D7_0109800,150.6834,144.6453,140.2094,36.3192,32.8972,34.5188,0.143,-3.147,190,4
chr1,PF3D7_0109850,12.9436,3.4382,42.0693,40.5892,61.4761,191.794,,,263,9
chr1,PF3D7_0109950,9.0736,4.1175,64.7752,23.8455,470.2084,1151.5705,,,46,3
chr1,PF3D7_0110000,45.7819,24.167,125.9655,69.4124,4030.426,1880.6959,1,-1.016,107,4
chr1,PF3D7_0110100,45.4076,47.1856,40.9229,9.8643,78.2069,183.3375,1,-2.697,178,8
chr1,PF3D7_0110200,38.7746,38.2069,41.0082,4.1805,124.2899,211.2531,0.208,-2.71,27,3
chr1,PF3D7_0110400,93.6796,159.9832,162.4016,39.059,86.8012,273.4083,0.486,-2.733,54,3
chr1,PF3D7_0110500,68.366,206.8628,91.3269,20.9174,65.0275,93.8651,1,-2.257,377,5
chr1,PF3D7_0110600,892.284,934.4085,352.6912,183.5038,80.3446,62.4936,0.2,-2.765,343,21
chr1,PF3D7_0110700,24.4869,67.778,165.8302,48.3499,219.0457,55.0179,0.157,-3.013,78,2
chr1,PF3D7_0110800,187.0156,221.1567,164.4168,75.0021,75.8401,73.6395,0.199,-3.59,28,4
chr1,PF3D7_0110900,79.1036,66.5447,29.0015,2.2313,71.4988,69.9465,0.12,-3.014,62,2
chr1,PF3D7_0111000,19.3543,6.1995,93.6354,96.3177,17.9047,47.1909,1,-2.224,742,24
chr1,PF3D7_0111200,3.2551,0.8441,14.2006,5.2642,67.8204,87.0184,0.339,0,17,1
chr1,PF3D7_0111300,15.6333,13.3118,79.1782,39.4614,21.162,54.1652,0.812,-2.874,540,27
chr1,PF3D7_0111400,17.5222,10.3594,52.7456,20.403,31.4533,92.0351,0.126,-3.209,197,5
chr1,PF3D7_0111500,12.7722,25.7708,107.5624,116.1879,53.0949,48.4302,0.12,-3.031,92,9
chr1,PF3D7_0111600,5.1124,38.9747,38.9296,9.9215,84.3957,231.9869,0.435,-3.525,89,4
chr1,PF3D7_0111700,7.4134,9.3714,11.0256,4.4959,29.7041,13.8626,0.916,-3.898,22,3
chr1,PF3D7_0111800,19.8196,69.4638,57.9394,12.4076,12.1255,25.859,1,0.607,172,9
chr1,PF3D7_0111900,32.8697,83.102,154.4787,19.9342,143.5558,131.8073,0.121,0,9,2
chr1,PF3D7_0112000,14.6551,20.5943,48.0916,16.0553,20.8362,48.1293,0.121,-3.108,39,2
chr1,PF3D7_0112100,6.8283,3.5412,0,0,3.648,10.404,0.754,-2.189,15,1
chr1,PF3D7_0112200,15.814,137.3541,95.7959,27.354,29.2024,11.8857,1,-1.001,210,21
chr1,PF3D7_0112400,,,,,,,,,5,1
chr1,PF3D7_0112700,,,,,,,,,1,1
chr1,PF3D7_0112800,18.5605,2.1877,10.3725,0,42.3675,245.1707,0.559,-2.078,60,9
chr1,PF3D7_0112900,87.0216,58.6695,4.2357,3.1985,12.6792,28.7099,0.995,-2.003,38,3
chr1,PF3D7_0113000,1897.9138,8482.9321,344.405,51.0821,103.2042,12.1743,1,-2.159,898,39
chr1,PF3D7_0113100,35.7639,3.2163,3.4435,0.5015,2.485,8.3327,1,0.981,3657,20
chr1,PF3D7_0113200,43.8262,823.02,292.5136,91.3942,20.9492,26.5188,1,-1.287,1861,85
chr1,PF3D7_0113300,372.8811,35.1094,27.0626,2.6068,7.1761,11.7588,0.952,-2.159,735,15
chr1,PF3D7_0113400,16.9096,1.5945,2.1338,0,9.0338,10.2206,0.987,-2.317,219,10
chr1,PF3D7_0113600,,,,,,,1,-1.467,,
chr1,PF3D7_0113700,177.6734,92.4036,27.6687,0.8117,26.0093,37.6803,1,-0.674,97,10
chr1,PF3D7_0113800,572.598,42.2035,9.8746,0.2702,2.7674,2.7775,1,-2.076,118,1
chr1,PF3D7_0113900,131.0478,56.3542,12.5899,3.9491,43.0503,177.2359,0.256,-2.691,87,6
chr1,PF3D7_0114000,34.8571,10.1495,21.2,8.0306,63.0447,57.8577,1,-1.456,246,9
chr1,PF3D7_0114100,0,1.8315,0.4669,0,0,0,1,0.315,37,5
chr1,PF3D7_0114200,12.7778,1.5292,0,0,0.7877,0.4084,1,-1.199,190,7
chr1,PF3D7_0114300,,,,,,,0.476,-3.206,,
chr1,PF3D7_0114400,,,,,,,0.782,-2.196,,
chr1,PF3D7_0114500,6.2785,18.141,0.5336,0,7.9064,20.4991,0.184,-1.528,217,49
chr1,PF3D7_0114600,,,,,,,0.199,-2.528,,
chr1,PF3D7_0114700,25.5108,6.8695,1.7511,0,0,0,0.987,-2.356,548,31
chr1,PF3D7_0114750,12.6996,9.8793,0,0,0,0,,,16,2
chr1,PF3D7_0114800,15.6204,28.7214,0,0,0,0.5901,0.119,-3.122,127,14
chr1,PF3D7_0114900,,,,,,,0.982,-2.415,,
chr1,PF3D7_0115000,3.1222,0.2857,0.1093,0.4455,0.1472,0.4579,0.999,-2.039,,
chr1,PF3D7_0115100,1.1142,0,0,0,0,3.7041,0.338,-1.693,,
chr1,PF3D7_0115200,20.8813,72.7728,1.4907,0,2.008,0.6942,0.754,-2.168,,
chr1,PF3D7_0115300,21.9505,10.3939,1.1355,2.3152,0,0,1,0,,
chr1,PF3D7_0115400,22.196,16.4033,3.9613,0,0,0.9223,1,-2.412,,
chr1,PF3D7_0115500,,,,,,,0.816,-2.37,,
chr1,PF3D7_0115600,57.9601,41.2778,14.5693,0,5.2335,0.6784,0.936,-2.159,,
chr1,PF3D7_0115700,86.9866,31.6326,2.9241,1.8066,2.7453,2.7234,,,,
chr2,PF3D7_0200100,113.9032,16.1104,3.1361,5.9373,4.2244,2.5817,1,-2.061,,
chr2,PF3D7_0200200,28.1893,32.5397,4.8687,8.8236,29.1482,2.6451,0.565,-2.598,,
chr2,PF3D7_0200300,5.0722,2.6305,0.5029,0,0,0.3513,0.864,-2.259,,
chr2,PF3D7_0200400,0,6.8455,0,0,0.8815,0,1,-1.003,,
chr2,PF3D7_0200500,0,5.1787,0,2.0187,0.6668,0,0.561,-2.232,,
chr2,PF3D7_0200600,6.1501,29.3892,1.568,10.6566,1.4081,0,0.408,-2.486,,
chr2,PF3D7_0200700,4.5652,2.8411,0,0,0.7317,0.3794,0.243,-2.818,,
chr2,PF3D7_0200800,,,,,,,0.687,-2.03,,
chr2,PF3D7_0200900,,,,,,,0.357,-2.467,,
chr2,PF3D7_0201000,1.0377,5.6505,0,2.5172,0,0,0.438,-2.425,,
chr2,PF3D7_0201100,0,0,0,0,0,0,0.128,0,,
chr2,PF3D7_0201200,4.584,2.1396,0,0,0.7347,1.1429,1,0.778,,
chr2,PF3D7_0201300,3.2999,21.3921,0,0,0.8815,0,0.853,-2.121,,
chr2,PF3D7_0201400,6.5451,0,0,0,1.3112,1.3599,0.673,-2.309,,
chr2,PF3D7_0201500,3.1868,0.1907,4.6666,0,10.6078,10.7976,0.196,-2.845,,
chr2,PF3D7_0201600,57.869,1.5964,3.4182,0,3.2889,1.3644,1,-2.037,,
chr2,PF3D7_0201700,66.1898,1.0638,0.6509,0,0.6575,1.3639,0.214,-2.696,,
chr2,PF3D7_0201800,44.7163,1.3176,1.4107,18.9009,3.5291,1.4077,1,-2.465,,
chr2,PF3D7_0201900,47.052,1.9218,5.4112,0,23.1274,5.7397,1,-0.927,,
chr2,PF3D7_0202000,9496.9885,186.1711,66.4111,26.3616,407.9083,28.7363,1,-1.359,,
chr2,PF3D7_0202100,48.717,58.1099,30.5276,9.4544,3.904,3.7789,0.383,-2.163,164,41
chr2,PF3D7_0202200,153.8981,21.962,9.6265,1.6704,0.8277,1.1445,0.65,-3.049,86,8
chr2,PF3D7_0202300,21.2197,36.6825,1.8702,0,3.149,0.9797,0.121,-2.952,99,4
chr2,PF3D7_0202400,108.2729,395.979,80.0365,32.5066,20.6176,7.7214,1,-2.252,431,20
chr2,PF3D7_0202500,6010.9321,962.95,992.3325,366.5524,234.5786,13.5429,1,0,30,4
chr2,PF3D7_0202600,1.7906,1.3929,2.9294,0.543,0.1794,8.1849,0.377,-2.621,779,30
chr2,PF3D7_0202600,0,0,0,0,0,0,0.377,-2.621,779,30
chr2,PF3D7_0202700,8.2754,11.6489,43.3697,24.8545,27.7894,71.3956,0.144,-3.162,80,7
chr2,PF3D7_0202800,13.3661,2.5464,31.157,11.9109,53.9926,161.2984,0.725,-2.454,51,5
chr2,PF3D7_0202900,5.9153,0.9861,21.6169,9.2247,38.261,120.2696,0.995,-2.624,106,7
chr2,PF3D7_0203000,38.0954,9.1185,115.334,116.3589,23.3597,43.7737,1,-1.887,776,15
chr2,PF3D7_0203100,37.599,9.4385,29.2684,55.6312,14.9583,88.5914,1,-1.603,916,19
chr2,PF3D7_0203200,48.6148,37.8182,29.6016,11.0995,18.7915,140.9357,0.971,-2.198,299,7
chr2,PF3D7_0203300,12.6876,12.3374,34.5946,28.2134,128.7869,775.023,0.156,-3.229,66,3
chr2,PF3D7_0203400,9.419,1.8318,133.9216,38.8435,671.7774,205.2905,0.998,-2.427,24,3
chr2,PF3D7_0203500,,,,,,,,,1,1
chr2,PF3D7_0203600,35.0428,5.5834,43.9546,20.4839,12.1801,31.4044,0.81,-1.784,308,13
chr2,PF3D7_0203700,663.285,965.9719,163.2473,17.3547,80.6716,49.4764,0.391,-2.522,192,12
chr2,PF3D7_0203800,11.4067,2.662,27.4828,4.1506,39.5343,486.7951,1,-0.195,81,1
chr2,PF3D7_0203900,16.9972,40.4019,116.8465,29.7792,8.3239,24.3284,0.315,-2.642,294,15
chr2,PF3D7_0204000,12.3509,10.1903,31.8395,9.9871,6.5984,31.5716,1,-2.227,388,9
chr2,PF3D7_0204100,30.3867,22.7826,297.2499,893.2324,49.6931,113.0715,0.146,-2.863,719,18
chr2,PF3D7_0204200,258.9945,388.3945,306.372,127.1089,382.7049,1268.4648,0.689,-2.589,25,1
chr2,PF3D7_0204300,176.6217,95.1209,48.7261,11.3,10.2654,27.2606,1,-2.318,528,12
chr2,PF3D7_0204400,71.5746,29.3048,31.3747,3.0461,3.0188,2.609,0.987,0,26,2
chr2,PF3D7_0204500,101.1134,77.2778,70.7058,32.2744,7.1078,1.4743,0.736,0.461,139,7
chr2,PF3D7_0204600,35.7426,51.6102,31.1669,27.9122,7.2588,21.3634,1,-1.594,677,24
chr2,PF3D7_0204700,153.6075,416.4177,351.4289,313.0899,250.2598,77.7222,0.294,-2.474,41,3
chr2,PF3D7_0204800,21.4003,24.0465,54.8144,14.4205,100.5143,309.0228,0.997,-2.714,184,16
chr2,PF3D7_0204900,18.5311,24.9502,114.0583,38.0377,133.0801,135.9432,0.321,-2.529,112,4
chr2,PF3D7_0205000,28.4591,3.406,14.3258,1.3276,49.5594,267.45,1,-0.036,334,8
chr2,PF3D7_0205100,16.3637,2.0252,5.9737,2.7065,16.9877,90.098,1,0.742,429,11
chr2,PF3D7_0205200,15.2644,0.8482,8.4322,0,14.8535,82.006,1,-1.971,95,2
chr2,PF3D7_0205300,12.6304,3.3881,5.182,2.1131,16.0548,41.2638,0.999,-1.296,429,14
chr2,PF3D7_0205400,82.1679,35.4374,39.7641,5.1639,47.7641,69.1733,0.131,-2.907,73,5
chr2,PF3D7_0205500,79.3055,38.2922,78.6318,19.9017,169.4731,162.1229,0.409,-3.578,12,2
chr2,PF3D7_0205600,30.0443,60.5825,131.4639,67.1289,42.1336,22.6696,0.149,-3.187,97,3
chr2,PF3D7_0205700,8.9981,3.2666,1.7843,1.4552,12.4987,44.1216,0.298,-3.275,59,4
chr2,PF3D7_0205700,0,0,0,0,0,0,0.298,-3.275,59,4
chr2,PF3D7_0205800,89.3354,39.517,110.9812,91.3598,193.0124,454.2081,0.243,-3.728,10,1
chr2,PF3D7_0205900,159.3788,371.9499,935.745,1122.0946,249.6785,102.4804,0.127,-3.218,124,5
chr2,PF3D7_0206000,71.4605,71.9966,56.764,44.704,9.8451,31.2265,1,-2.445,865,20
chr2,PF3D7_0206100,24.5588,33.4894,31.6266,14.7187,44.2232,48.7451,0.272,-3.284,72,5
chr2,PF3D7_0206200,36.3919,10.5339,109.7586,119.0768,32.5541,96.8889,1,-2.212,63,3
chr2,PF3D7_0206300,,,,,,,1,-0.769,,
chr2,PF3D7_0206500,164.5851,220.9688,122.7368,37.5107,18.1628,78.9548,0.886,-2.766,507,11
chr2,PF3D7_0206600,42.2667,28.9909,5.6778,0,27.6795,23.0405,1,0,11,3
chr2,PF3D7_0206700,385.4725,587.2252,9317.1963,75625.0633,186.7911,40.7758,0.121,-2.994,102,2
chr2,PF3D7_0206800,574.0042,553.7352,9296.2905,88333.5032,165.391,33.638,0.988,-2.005,386,13
chr2,PF3D7_0206900,0,0,0,0,0,0,0.988,-2.098,76,6
chr2,PF3D7_0206900,0,0,0,0,0,0,0.988,-2.098,76,6
chr2,PF3D7_0207000,34.8551,21.6228,1337.5645,5182.3553,401.2951,114.0371,0.251,-2.64,397,64
chr2,PF3D7_0207100,24.1928,18.82,112.7576,114.8428,28.3137,56.5581,1,-2.608,673,31
chr2,PF3D7_0207200,4.4173,3.4363,13.5772,16.0734,45.4278,122.0653,0.195,-3.514,31,2
chr2,PF3D7_0207300,15.8708,2.4006,4.9831,4.2778,1.4131,3.1143,0.998,-2.593,865,65
chr2,PF3D7_0207400,19.1552,6.1733,612.2631,325.2729,19.5167,2.0468,1,-1.186,579,30
chr2,PF3D7_0207500,32.2182,5.6783,1182.3463,802.3244,23.8014,3.1378,0.252,-2.761,411,23
chr2,PF3D7_0207600,204.5261,54.7879,15941.8708,43611.896,723.3249,29.9688,0.2,-2.737,426,40
chr2,PF3D7_0207700,33.3468,7.7122,1947.1742,4943.2943,105.447,3.6203,1,0.947,1128,45
chr2,PF3D7_0207800,28.8295,4.8372,299.298,471.7255,10.6455,0.8222,1,-2.533,379,12
chr2,PF3D7_0207900,25.7068,4.6311,365.7453,158.1993,16.2635,2.3613,1,-0.99,1503,35
chr2,PF3D7_0208000,24.2172,2.5689,121.3125,102.14,23.5968,32.2483,0.98,-2.772,453,17
chr2,PF3D7_0208100,15.8034,11.7498,145.5155,120.4384,37.7687,56.1974,1,-0.081,981,36
chr2,PF3D7_0208200,109.7043,117.8253,83.7899,10.3016,30.6277,77.0567,0.372,-2.666,61,4
chr2,PF3D7_0208300,41.9584,35.7277,26.3105,5.0434,20.5984,40.9971,0.122,-3.013,72,2
chr2,PF3D7_0208400,63.787,69.1046,102.9049,64.9479,48.9414,127.097,1,-1.355,1175,22
chr2,PF3D7_0208500,7.9393,2.1798,28.3386,19.2594,56.1373,141.2797,0.231,-3.465,55,3
chr2,PF3D7_0208600,27.5812,94.0757,276.414,97.7882,25.928,52.457,0.183,-2.794,241,9
chr2,PF3D7_0208700,116.0716,116.7676,107.373,30.9582,716.8515,639.4005,0.872,-1.746,39,1
chr2,PF3D7_0208800,30.1442,27.7922,46.8248,20.3126,432.5791,770.3637,0.156,-2.83,99,9
chr2,PF3D7_0208900,20.4922,5.0827,3.887,1.0807,3.4509,9.3176,1,-1.524,1274,33
chr2,PF3D7_0209000,22.5479,6.0345,2.2767,0.2509,51.6376,203.5102,1,-0.851,3551,20
chr2,PF3D7_0209100,117.4967,53.0555,152.8541,98.2858,24.351,23.8513,1,-1.821,142,11
chr2,PF3D7_0209200,43.1659,38.0075,32.7343,6.9042,30.4101,22.0767,0.262,-2.615,91,3
chr2,PF3D7_0209300,20.5373,23.2987,27.9988,4.1517,43.2017,54.7606,0.135,-2.98,66,2
chr2,PF3D7_0209400,15.4627,15.3366,31.276,15.0041,14.2499,69.5554,0.993,-2.677,168,4
chr2,PF3D7_0209500,20.3318,3.1633,6.8541,13.1525,4.3448,52.1005,1,-1.47,210,12
chr2,PF3D7_0209600,23.3309,9.1565,133.7943,210.5819,13.3065,12.1406,0.136,-2.867,228,12
chr2,PF3D7_0209700,326.462,378.0172,204.8925,263.3071,74.9381,104.6068,0.128,-2.864,165,10
chr2,PF3D7_0209800,827.5766,1173.4512,955.1971,415.1789,137.6476,160.5011,0.257,-2.606,13,1
chr2,PF3D7_0210000,292.2589,601.2698,844.1784,436.9785,1063.4982,5405.8912,0.121,0,3,1
chr2,PF3D7_0210100,408.2311,692.0088,234.6766,365.2192,1115.9916,1102.6462,0.126,-3.711,12,1
chr2,PF3D7_0210100,0,0,0,0,0,0,0.126,-3.711,12,1
chr2,PF3D7_0210200,39.8729,55.5978,186.6311,99.1588,75.8623,120.1507,1,-2.859,918,9
chr2,PF3D7_0210300,7.0343,16.7582,119.0026,34.1281,40.1636,40.7399,0.12,-2.961,44,1
chr2,PF3D7_0210400,14.812,28.8063,61.2415,10.7795,45.1053,36.0071,0.251,-3.272,21,1
chr2,PF3D7_0210500,17.3286,38.8777,16.8826,3.0461,17.509,43.8309,0.122,-3.092,528,22
chr2,PF3D7_0210600,12.4421,6.5678,127.1533,225.2921,33.829,303.3825,0.234,-2.616,81,2
chr2,PF3D7_0210700,15.9921,5.1226,29.6606,4.5641,32.4157,286.5356,0.21,-3.264,74,7
chr2,PF3D7_0210800,51.958,31.6003,17.703,5.7292,65.1054,117.7681,0.394,-3.606,282,22
chr2,PF3D7_0210900,271.0959,203.3439,211.3898,55.732,27.4115,77.6473,0.822,-1.794,72,1
chr2,PF3D7_0211100,8.1468,12.2224,6.9237,0.7058,8.3939,23.8184,1,-2.519,457,19
chr2,PF3D7_0211200,10.9365,20.7374,65.4679,34.8208,81.6153,80.6662,0.385,-2.515,30,2
chr2,PF3D7_0211300,1.9618,1.0174,29.566,11.1044,199.1337,130.9773,0.122,-3.074,59,1
