QueryIsoform	QueryID	TargetID	Identity	Coverage	QueryLength	MisMatch	Gaps	Evalue	BitScore	ManualScore
PF3D7_0109200.1-p1	PF3D7_0109200	sp|O43809|CPSF5_HUMAN	31.633	196	232	118	3	4.29E-25	99.4	2672.44310344828
PF3D7_0109300.1-p1	PF3D7_0109300	sp|Q9H5J4|ELOV6_HUMAN	29.787	282	322	169	6	4.67E-33	124	2608.6751552795
PF3D7_0109400.1-p1	PF3D7_0109400	sp|O75347|TBCA_HUMAN	34.286	70	166	44	2	0.0000166	42.7	1445.79518072289
PF3D7_0109500.1-p1	PF3D7_0109500	sp|P61599|NAA20_HUMAN	44.304	158	155	78	4	1.81E-38	129	4516.14967741936
PF3D7_0109600.1-p1	PF3D7_0109600	tr|H3BPY5|H3BPY5_HUMAN	35.849	53	150	34	0	0.000000314	47.4	1266.66466666667
PF3D7_0109700.1-p1	PF3D7_0109700	sp|Q96EU6|RRP36_HUMAN	29.444	180	183	113	7	1.14E-12	65.1	2896.13114754098
PF3D7_0109800.1-p1	PF3D7_0109800	sp|Q9Y285|SYFA_HUMAN	42	500	575	245	11	1.7E-135	404	3652.17391304348
PF3D7_0109850.1-p1	PF3D7_0109850	sp|Q9UPQ8|DOLK_HUMAN	27.386	241	596	152	7	9.19E-14	75.1	1107.38691275168
PF3D7_0110100.1-p1	PF3D7_0110100	tr|C9J8T0|C9J8T0_HUMAN	40.336	119	934	64	2	4.06E-22	101	513.916916488223
PF3D7_0110200.1-p1	PF3D7_0110200	tr|H3BQQ4|H3BQQ4_HUMAN	38.542	96	143	59	0	7.37E-22	85.5	2587.43496503497
PF3D7_0110400.1-p1	PF3D7_0110400	sp|P36954|RPB9_HUMAN	38.053	113	249	66	2	2.72E-20	84.3	1726.90321285141
PF3D7_0110600.1-p1	PF3D7_0110600	tr|A6PW57|A6PW57_HUMAN	31.707	328	1710	188	8	5.04E-37	149	608.181052631579
PF3D7_0110700.1-p1	PF3D7_0110700	sp|Q09028|RBBP4_HUMAN	31.368	424	446	266	14	4.24E-58	197	2982.06995515695
PF3D7_0110800.1-p1	PF3D7_0110800	sp|Q00403|TF2B_HUMAN	24.092	303	367	204	9	2.35E-20	91.3	1989.06702997275
PF3D7_0110900.1-p1	PF3D7_0110900	sp|Q9Y3D8|KAD6_HUMAN	33.516	182	186	104	5	9.08E-29	105	3279.52258064516
PF3D7_0111000.1-p1	PF3D7_0111000	sp|Q2TAC6|KIF19_HUMAN	53.034	379	1664	174	2	4.25E-120	404	1207.92584134615
PF3D7_0111300.1-p1	PF3D7_0111300	tr|A0A0D9SF58|A0A0D9SF58_HUMAN	22.649	521	1167	312	18	1.1E-26	119	1011.15072836332
PF3D7_0111500.1-p1	PF3D7_0111500	sp|P30085|KCY_HUMAN	42.991	107	371	61	0	2.49E-23	97.1	1239.90215633423
PF3D7_0111800.1-p1	PF3D7_0111800	tr|C9JEL3|C9JEL3_HUMAN	25.547	137	620	90	4	4.46E-11	63.9	564.506290322581
PF3D7_0111900.1-p1	PF3D7_0111900	sp|O43715|TRIA1_HUMAN	36.538	52	81	32	1	0.0000014	42.7	2345.64938271605
PF3D7_0112000.1-p1	PF3D7_0112000	tr|A0A0D9SGD3|A0A0D9SGD3_HUMAN	42.029	207	447	102	5	1.46E-41	148	1946.30939597315
PF3D7_0112200.1-p1	PF3D7_0112200	tr|A0A0A0MS99|A0A0A0MS99_HUMAN	20.255	706	1822	420	20	9.24E-25	114	784.853457738749
PF3D7_0113700.1-p1	PF3D7_0113700	sp|Q9UDY4|DNJB4_HUMAN	34.897	341	402	194	8	2.95E-64	209	2960.1684079602
PF3D7_0114000.1-p1	PF3D7_0114000	sp|Q15149|PLEC_HUMAN	20.848	566	1463	418	10	0.00000000225	63.9	806.55967190704
PF3D7_0201700.1-p1	PF3D7_0201700	tr|F8WF76|F8WF76_HUMAN	43.243	74	900	39	1	1.53E-10	60.1	355.553555555556
PF3D7_0201800.1-p1	PF3D7_0201800	sp|Q9UDY4|DNJB4_HUMAN	36.963	349	421	186	9	4.37E-67	218	3064.15368171021
PF3D7_0201900.1-p1	PF3D7_0201900	sp|A6NE01|F186A_HUMAN	27.015	670	2441	435	49	3.95E-27	123	741.501433838591
PF3D7_0202400.1-p1	PF3D7_0202400	sp|Q9NU22|MDN1_HUMAN	20.487	493	1192	340	10	0.0000000446	59.3	847.323070469799
PF3D7_0202700.1-p1	PF3D7_0202700	sp|Q5T2R2|DPS1_HUMAN	33.484	221	538	144	3	3.08E-34	134	1375.45799256506
PF3D7_0202900.1-p1	PF3D7_0202900	sp|Q9NPG8|ZDHC4_HUMAN	31.183	186	287	117	6	4.94E-22	95.1	2020.91916376307
PF3D7_0203100.1-p1	PF3D7_0203100	sp|Q13188|STK3_HUMAN	33.462	260	2485	148	8	6.08E-37	149	350.105432595574
PF3D7_0203300.1-p1	PF3D7_0203300	sp|P07992|ERCC1_HUMAN	33.333	195	242	129	1	6.99E-44	150	2685.92355371901
PF3D7_0203700.1-p1	PF3D7_0203700	sp|Q9BXY0|MAK16_HUMAN	49.198	187	439	83	4	1.91E-45	160	2095.67790432802
PF3D7_0204100.1-p1	PF3D7_0204100	sp|Q9UBV2|SE1L1_HUMAN	26.087	207	2295	120	9	0.00000273	53.9	235.294509803922
PF3D7_0204400.1-p1	PF3D7_0204400	sp|O96015|DNAL4_HUMAN	36.082	97	107	55	2	1.86E-16	69.7	3270.98504672897
PF3D7_0204500.1-p1	PF3D7_0204500	sp|P00505|AATM_HUMAN	31.061	396	405	266	3	5.36E-71	230	3037.07555555556
PF3D7_0204600.1-p1	PF3D7_0204600	sp|Q8IZH2|XRN1_HUMAN	26.744	172	1188	102	4	0.000000028	59.7	387.202693602694
PF3D7_0204700.1-p1	PF3D7_0204700	sp|P11166|GTR1_HUMAN	28.97	466	504	293	11	5.39E-43	160	2678.5753968254
PF3D7_0204800.1-p1	PF3D7_0204800	sp|Q8NHP7|EXD1_HUMAN	26.752	157	416	109	4	0.0000000589	55.8	1009.63076923077
PF3D7_0204900.1-p1	PF3D7_0204900	sp|Q5HYK3|COQ5_HUMAN	37.288	354	354	153	6	9.06E-75	234	3728.8
PF3D7_0205200.1-p1	PF3D7_0205200	sp|Q5T089|MORN1_HUMAN	29.605	152	196	101	5	3.46E-10	59.3	2295.89795918367
PF3D7_0205400.1-p1	PF3D7_0205400	sp|Q5JVF3|PCID2_HUMAN	23.14	363	457	250	9	2.41E-19	90.5	1838.03501094092
PF3D7_0205500.1-p1	PF3D7_0205500	sp|O15514|RPB4_HUMAN	28.788	132	132	90	3	2E-11	58.5	2878.8
PF3D7_0205900.1-p1	PF3D7_0205900	sp|Q13200|PSMD2_HUMAN	36.111	612	966	364	7	1.83E-132	422	2287.77763975155
PF3D7_0206000.1-p1	PF3D7_0206000	tr|A0A090HNM7|A0A090HNM7_HUMAN	25.424	472	1516	284	15	9.13E-29	126	791.565171503958
PF3D7_0206200.1-p1	PF3D7_0206200	tr|A0AAG2UWQ8|A0AAG2UWQ8_HUMAN	26.506	166	565	111	3	0.00000287	50.4	778.760353982301
PF3D7_0206600.1-p1	PF3D7_0206600	sp|Q9Y2Y1|RPC10_HUMAN	35.714	112	106	62	4	2.11E-16	69.3	3773.55471698113
PF3D7_0206700.1-p1	PF3D7_0206700	sp|P30566|PUR8_HUMAN	22.793	487	471	310	21	1.66E-11	67.4	2356.72845010616
PF3D7_0207200.1-p1	PF3D7_0207200	sp|Q86U28|ISCA2_HUMAN	32.174	115	160	73	2	1.14E-14	68.2	2312.50625
PF3D7_0207300.1-p1	PF3D7_0207300	sp|P07711|CATL1_HUMAN	23.346	257	679	141	11	0.0000000308	57	883.640942562592
PF3D7_0207400.1-p1	PF3D7_0207400	sp|P25774|CATS_HUMAN	23.729	236	946	143	8	0.00000000425	60.5	591.970824524313
PF3D7_0207500.1-p1	PF3D7_0207500	tr|A0A7P0TAQ0|A0A7P0TAQ0_HUMAN	24.561	228	1031	135	8	0.00000000567	59.3	543.15305528613
PF3D7_0207600.1-p1	PF3D7_0207600	sp|O60911|CATL2_HUMAN	26.222	225	997	134	7	2.18E-10	64.3	591.770310932799
PF3D7_0207700.1-p1	PF3D7_0207700	tr|A0A7P0Z4C4|A0A7P0Z4C4_HUMAN	28.511	235	962	129	10	4.02E-12	69.7	696.474532224532
PF3D7_0207800.1-p1	PF3D7_0207800	tr|A0A7P0Z4C4|A0A7P0Z4C4_HUMAN	26.695	236	930	133	9	8.11E-12	68.6	677.421505376344
PF3D7_0207900.1-p1	PF3D7_0207900	tr|A0A7P0Z4C4|A0A7P0Z4C4_HUMAN	30.638	235	1105	124	11	7.08E-15	78.2	651.577375565611
PF3D7_0208000.1-p1	PF3D7_0208000	tr|A0A7P0Z4C4|A0A7P0Z4C4_HUMAN	27.426	237	994	132	10	2.38E-12	70.1	653.919718309859
PF3D7_0208100.1-p1	PF3D7_0208100	sp|Q86YS7|C2CD5_HUMAN	31.02	245	1789	149	4	2.11E-27	122	424.812744550028
PF3D7_0208200.1-p1	PF3D7_0208200	sp|Q13601|KRR1_HUMAN	52.92	274	300	125	2	3.28E-98	294	4833.36
PF3D7_0208500.1-p1	PF3D7_0208500	sp|O14561|ACPM_HUMAN	40.26	77	137	46	0	1.35E-12	62	2262.78832116788
PF3D7_0209000.1-p1	PF3D7_0209000	sp|Q86X53|ERIC1_HUMAN	29.71	138	3135	96	1	0.000000229	57.4	130.780861244019
PF3D7_0209100.1-p1	PF3D7_0209100	tr|A0A590UJC7|A0A590UJC7_HUMAN	26.462	359	679	198	14	4.67E-14	77	1399.09543446245
PF3D7_0209200.1-p1	PF3D7_0209200	tr|A0A994J4D9|A0A994J4D9_HUMAN	24.277	173	275	116	3	1.77E-10	61.2	1527.244
PF3D7_0209400.1-p1	PF3D7_0209400	sp|Q9H993|ARMT1_HUMAN	27.729	458	450	278	14	1.67E-33	132	2822.196
PF3D7_0209600.1-p1	PF3D7_0209600	sp|Q96N87|S6A18_HUMAN	31.858	113	1132	70	3	0.000000438	55.1	318.017137809187
PF3D7_0209700.1-p1	PF3D7_0209700	tr|H3BPZ9|H3BPZ9_HUMAN	48.889	45	568	22	1	0.0000000365	53.9	387.324823943662
PF3D7_0209800.1-p1	PF3D7_0209800	sp|Q13838|DX39B_HUMAN	58.278	453	457	160	4	0	533	5776.79080962801
PF3D7_0210000.1-p1	PF3D7_0210000	sp|P60059|SC61G_HUMAN	56.14	57	81	25	0	2.14E-20	77.4	3950.59259259259
PF3D7_0210100.1-p1	PF3D7_0210100	sp|P61513|RL37A_HUMAN	60.87	92	96	36	0	4.4E-36	118	5833.375
PF3D7_0210100.2-p1	PF3D7_0210100	tr|G5E9R3|G5E9R3_HUMAN	77.273	22	35	5	0	0.00000222	39.7	4857.16
PF3D7_0210300.1-p1	PF3D7_0210300	sp|Q6ZSM3|MOT12_HUMAN	25.309	162	457	113	4	0.0000000578	56.2	897.168052516411
PF3D7_0210700.1-p1	PF3D7_0210700	sp|P32856|STX2_HUMAN	23.485	264	314	180	6	9.33E-12	65.5	1974.53503184713
PF3D7_0211200.1-p1	PF3D7_0211200	sp|P51148|RAB5C_HUMAN	41.379	232	235	94	4	5.06E-55	176	4085.07574468085
PF3D7_0211500.1-p1	PF3D7_0211500	tr|A0A994J4W9|A0A994J4W9_HUMAN	36.719	128	1245	74	4	1.89E-13	72	377.512610441767
PF3D7_0211600.1-p1	PF3D7_0211600	sp|Q96F25|ALG14_HUMAN	31.892	185	209	115	3	4.81E-28	106	2822.97607655502
PF3D7_0211700.1-p1	PF3D7_0211700	sp|Q9NYL2|M3K20_HUMAN	29.795	292	1233	173	9	9.6E-32	135	705.607461476075
PF3D7_0211800.1-p1	PF3D7_0211800	sp|Q96I59|SYNM_HUMAN	47.191	267	610	137	3	2.34E-75	249	2065.57327868852
PF3D7_0212000.1-p1	PF3D7_0212000	sp|Q96A29|FUCT1_HUMAN	24.444	315	311	219	8	8.2E-13	69.3	2475.83922829582
PF3D7_0212200.1-p1	PF3D7_0212200	sp|P52815|RM12_HUMAN	36.111	72	255	45	1	0.00000637	46.6	1019.60470588235
PF3D7_0212300.1-p1	PF3D7_0212300	sp|P62495|ERF1_HUMAN	70.388	412	427	120	1	0	611	6791.53536299766
PF3D7_0212800.1-p1	PF3D7_0212800	tr|A0A0G2JM16|A0A0G2JM16_HUMAN	24.286	210	1224	124	7	0.00000268	53.1	416.671568627451
PF3D7_0213100.1-p1	PF3D7_0213100	sp|Q9UDY4|DNJB4_HUMAN	40.351	342	328	178	8	2.18E-77	241	4207.32987804878
PF3D7_0213400.1-p1	PF3D7_0213400	sp|P46734|MP2K3_HUMAN	33.607	244	343	133	8	1.79E-27	111	2390.70204081633
PF3D7_0213500.1-p1	PF3D7_0213500	sp|P53041|PPP5_HUMAN	35.172	145	460	86	4	1.19E-11	67.8	1108.68260869565
PF3D7_0213700.1-p1	PF3D7_0213700	sp|Q96C01|F136A_HUMAN	18.75	128	154	100	2	0.000000217	48.1	1558.44155844156
PF3D7_0214000.1-p1	PF3D7_0214000	sp|P50990|TCPQ_HUMAN	33.706	537	542	351	4	3.25E-112	345	3339.50590405904
PF3D7_0214100.1-p1	PF3D7_0214100	tr|D6REX3|D6REX3_HUMAN	21.976	587	1471	334	14	1.93E-41	168	876.94847042828
PF3D7_0214200.1-p1	PF3D7_0214200	sp|Q9BYD1|RM13_HUMAN	26.812	138	212	93	3	3.08E-12	63.5	1745.30943396226
PF3D7_0214300.1-p1	PF3D7_0214300	sp|P18583|SON_HUMAN	14.881	168	2500	143	0	4.74E-10	66.6	100.00032
PF3D7_0214400.1-p1	PF3D7_0214400	sp|Q96GA3|LTV1_HUMAN	34.091	132	619	79	4	0.0000000922	55.8	726.980936995154
PF3D7_0214600.1-p1	PF3D7_0214600	sp|Q9H2G2|SLK_HUMAN	31.944	144	1714	95	3	4.65E-12	72.4	268.374329054842
PF3D7_0214900.1-p1	PF3D7_0214900	tr|E9PGC8|E9PGC8_HUMAN	25	252	950	165	7	0.00000000231	62.8	663.157894736842
PF3D7_0215000.1-p1	PF3D7_0215000	tr|A0A7P0T8L6|A0A7P0T8L6_HUMAN	26.419	458	885	301	10	9.12E-39	153	1367.22056497175
PF3D7_0215100.1-p1	PF3D7_0215100	tr|K7EIM7|K7EIM7_HUMAN	27.132	258	298	160	10	5.11E-22	95.1	2349.01208053691
PF3D7_0215300.1-p1	PF3D7_0215300	sp|O60488|ACSL4_HUMAN	24.169	662	888	388	23	7.42E-43	168	1801.78806306306
PF3D7_0215700.1-p1	PF3D7_0215700	tr|C9J2Y9|C9J2Y9_HUMAN	51.014	888	1340	413	11	0	919	3380.62925373134
PF3D7_0215800.1-p1	PF3D7_0215800	sp|O43913|ORC5_HUMAN	27.465	142	899	67	5	0.0000497	47.8	433.818687430478
PF3D7_0215900.1-p1	PF3D7_0215900	tr|H0Y6A5|H0Y6A5_HUMAN	32.157	255	260	150	5	4.36E-31	118	3153.85961538461
PF3D7_0216000.1-p1	PF3D7_0216000	tr|A0A994J501|A0A994J501_HUMAN	42.049	566	1997	263	13	1.29E-123	418	1191.77436154231
PF3D7_0216300.1-p1	PF3D7_0216300	sp|Q96AG4|LRC59_HUMAN	28.155	103	1381	64	2	0.00000551	51.2	209.990224475018
PF3D7_0216400.1-p1	PF3D7_0216400	tr|A0A8V8TLX8|A0A8V8TLX8_HUMAN	34.985	343	722	209	7	6.12E-62	216	1662.02977839335
PF3D7_0216600.1-p1	PF3D7_0216600	sp|Q9BRV3|SWET1_HUMAN	23.832	214	686	154	4	3.74E-10	61.6	743.4472303207
PF3D7_0216700.1-p1	PF3D7_0216700	sp|Q9Y6V0|PCLO_HUMAN	29.655	145	1383	94	2	0.00000257	53.5	310.916485900217
PF3D7_0216700.2-p1	PF3D7_0216700	sp|Q9Y6V0|PCLO_HUMAN	29.655	145	1377	94	2	0.00000256	53.5	312.271241830065
PF3D7_0216800.1-p1	PF3D7_0216800	tr|H0Y393|H0Y393_HUMAN	26.724	116	1122	73	3	0.00000323	52.8	276.290909090909
PF3D7_0217100.1-p1	PF3D7_0217100	sp|P25705|ATPA_HUMAN	60.583	515	551	195	3	0	649	5662.47640653358
PF3D7_0217300.1-p1	PF3D7_0217300	sp|Q96PC3|AP1S3_HUMAN	44.853	136	141	74	1	1.62E-36	123	4326.24680851064
PF3D7_0217500.1-p1	PF3D7_0217500	sp|Q6P2M8|KCC1B_HUMAN	39.298	285	524	156	5	9.45E-62	207	2137.39122137405
PF3D7_0217700.1-p1	PF3D7_0217700	sp|Q56P03|EAPP_HUMAN	30.345	145	234	85	5	7E-14	70.1	1880.35256410256
PF3D7_0217800.1-p1	PF3D7_0217800	sp|P62854|RS26_HUMAN	68.421	95	107	30	0	5.14E-42	134	6074.76168224299
PF3D7_0218000.1-p1	PF3D7_0218000	sp|P35249|RFC4_HUMAN	39.45	327	330	192	3	7.28E-82	253	3909.13636363636
PF3D7_0218400.1-p1	PF3D7_0218400	sp|Q9H0S4|DDX47_HUMAN	50.86	407	562	198	2	1.49E-148	436	3683.27758007117
PF3D7_0218500.1-p1	PF3D7_0218500	sp|P62316|SMD2_HUMAN	66.667	87	101	26	1	1.73E-33	112	5742.60297029703
PF3D7_0218600.1-p1	PF3D7_0218600	sp|Q7Z6Z6|PLPL5_HUMAN	26.991	226	2380	141	9	0.0000000245	60.1	256.301092436975
PF3D7_0218700.1-p1	PF3D7_0218700	sp|Q13573|SNW1_HUMAN	32.704	477	482	245	18	1.4E-59	205	3236.47468879668
PF3D7_0219100.1-p1	PF3D7_0219100	sp|Q8NBX0|SCPDL_HUMAN	22.759	435	426	307	11	7.97E-17	83.2	2323.9823943662
PF3D7_0219200.1-p1	PF3D7_0219200	tr|E9PR30|E9PR30_HUMAN	67.241	58	58	16	1	7.45E-14	60.8	6724.1
PF3D7_0219400.1-p1	PF3D7_0219400	sp|Q8N6R1|SERP2_HUMAN	41.935	62	101	36	0	1.3E-10	53.5	2574.22772277228
PF3D7_0219600.1-p1	PF3D7_0219600	sp|P35251|RFC1_HUMAN	29.529	552	904	360	15	1.51E-72	261	1803.0982300885
PF3D7_0220000.1-p1	PF3D7_0220000	sp|Q9HCI5|MAGE1_HUMAN	20.059	339	1558	235	5	0.000025	50.4	436.457060333761
PF3D7_0220100.1-p1	PF3D7_0220100	tr|F8WF76|F8WF76_HUMAN	57.143	70	997	27	1	1.54E-18	83.2	401.204613841525
PF3D7_0301000.1-p1	PF3D7_0301000	tr|A0A494BZW8|A0A494BZW8_HUMAN	25.051	487	819	328	10	2.46E-41	162	1489.60158730159
PF3D7_0301300.1-p1	PF3D7_0301300	sp|Q8WTS1|ABHD5_HUMAN	24.686	239	437	145	9	1.48E-11	66.6	1350.10389016018
PF3D7_0302000.1-p1	PF3D7_0302000	sp|O43660|PLRG1_HUMAN	52.134	328	600	151	1	1.58E-133	400	2849.992
PF3D7_0302100.1-p1	PF3D7_0302100	sp|Q96SB4|SRPK1_HUMAN	45.055	182	1338	97	2	3.2E-47	181	612.855754857997
PF3D7_0302600.1-p1	PF3D7_0302600	sp|Q9NP58|ABCB6_HUMAN	34.615	130	1365	82	2	1.36E-19	96.3	329.666666666667
PF3D7_0302700.1-p1	PF3D7_0302700	sp|Q9NZ45|CISD1_HUMAN	60.606	33	152	12	1	0.00000015	48.1	1315.78815789474
PF3D7_0302900.1-p1	PF3D7_0302900	tr|A0A7I2V488|A0A7I2V488_HUMAN	28.745	741	1254	432	15	3.09E-85	299	1698.56818181818
PF3D7_0303000.1-p1	PF3D7_0303000	tr|A0A994J5X9|A0A994J5X9_HUMAN	40.101	793	783	405	16	3.93E-180	535	4061.31455938697
PF3D7_0303200.1-p1	PF3D7_0303200	sp|Q92539|LPIN2_HUMAN	36.501	463	1162	226	12	1.41E-75	270	1454.38580034423
PF3D7_0303300.1-p1	PF3D7_0303300	tr|U3KQB0|U3KQB0_HUMAN	52	100	153	31	2	2.3E-29	104	3398.69281045752
PF3D7_0303400.1-p1	PF3D7_0303400	sp|Q9Y397|ZDHC9_HUMAN	37.931	116	616	61	3	2.19E-15	79.3	714.285064935065
PF3D7_0303500.1-p1	PF3D7_0303500	tr|A0A804HJS9|A0A804HJS9_HUMAN	20.213	282	2226	201	6	6.23E-12	72.4	256.067654986523
PF3D7_0303600.1-p1	PF3D7_0303600	sp|Q6DKJ4|NXN_HUMAN	20.755	106	179	77	2	0.000000147	51.2	1229.06703910615
PF3D7_0303700.1-p1	PF3D7_0303700	sp|P11182|ODB2_HUMAN	33.042	457	448	249	10	4.26E-65	217	3370.57901785714
PF3D7_0303800.1-p1	PF3D7_0303800	sp|Q9Y4X5|ARI1_HUMAN	24.498	498	593	303	10	7.48E-41	157	2057.33625632378
PF3D7_0304200.1-p1	PF3D7_0304200	sp|Q9H223|EHD4_HUMAN	47.937	509	533	260	4	4.31E-171	495	4577.84859287054
PF3D7_0304400.1-p1	PF3D7_0304400	sp|Q969Q0|RL36L_HUMAN	65.714	105	104	33	2	3.48E-42	134	6634.58653846154
PF3D7_0304500.1-p1	PF3D7_0304500	sp|Q86SX6|GLRX5_HUMAN	44.792	96	171	53	0	1.77E-27	101	2514.63859649123
PF3D7_0304600.1-p1	PF3D7_0304600	sp|Q8TDT2|GP152_HUMAN	33.333	132	397	81	3	1.59E-11	66.6	1108.30125944584
PF3D7_0305000.1-p1	PF3D7_0305000	sp|P43897|EFTS_HUMAN	22.957	257	390	159	11	0.0000431	46.2	1512.80743589744
PF3D7_0305500.1-p1	PF3D7_0305500	tr|A0A8I5KWI7|A0A8I5KWI7_HUMAN	27.35	234	3933	158	4	7.87E-18	88.6	162.723112128146
PF3D7_0305600.1-p1	PF3D7_0305600	sp|P27695|APEX1_HUMAN	35.644	202	617	94	6	2.16E-24	105	1166.9510534846
PF3D7_0305700.1-p1	PF3D7_0305700	sp|Q13404|UB2V1_HUMAN	49.645	141	142	70	1	5.81E-43	139	4929.53873239437
PF3D7_0305800.1-p1	PF3D7_0305800	sp|Q96M32|KAD7_HUMAN	30.579	121	1114	81	2	0.00000000483	61.6	332.141741472172
PF3D7_0306200.1-p1	PF3D7_0306200	sp|O95433|AHSA1_HUMAN	27.612	134	349	89	5	0.000000388	52.4	1060.17421203438
PF3D7_0306300.1-p1	PF3D7_0306300	sp|P35754|GLRX1_HUMAN	38.614	101	111	61	1	8.87E-20	78.2	3513.52612612613
PF3D7_0306400.1-p1	PF3D7_0306400	sp|P43304|GPDM_HUMAN	36.026	619	653	307	11	2.92E-134	411	3415.02205206738
PF3D7_0306800.1-p1	PF3D7_0306800	sp|P78371|TCPB_HUMAN	57.386	528	533	220	2	0	600	5684.7669793621
PF3D7_0306900.1-p1	PF3D7_0306900	sp|P62266|RS23_HUMAN	78.873	142	145	30	0	3.88E-79	231	7724.11448275862
PF3D7_0307100.1-p1	PF3D7_0307100	sp|P25398|RS12_HUMAN	47.414	116	141	60	1	4.57E-33	114	3900.72624113475
PF3D7_0307200.1-p1	PF3D7_0307200	sp|P18124|RL7_HUMAN	46.696	227	257	115	2	6.55E-62	196	4124.51050583658
PF3D7_0307300.1-p1	PF3D7_0307300	sp|Q15691|MARE1_HUMAN	46.721	122	510	60	2	8.99E-36	135	1117.63960784314
