Chr,Gene,MIS,MFS
chr1,PF3D7_0105200,0.8,-2.879
chr1,PF3D7_0105300,0.141,-3.448
chr1,PF3D7_0105400,0.929,-2.495
chr1,PF3D7_0105500,0.161,-2.717
chr1,PF3D7_0105600,0.12,-3.042
chr1,PF3D7_0105700,1,-1.851
chr1,PF3D7_0105800,0.184,-2.713
chr1,PF3D7_0105900,0.886,-2.507
chr1,PF3D7_0106000,0.188,-2.706
chr1,PF3D7_0106100,0.122,-2.999
chr1,PF3D7_0106200,1,0.391
chr1,PF3D7_0106300,0.131,-2.942
chr1,PF3D7_0106400,0.154,0
chr1,PF3D7_0106500,0.464,-2.487
chr1,PF3D7_0106600,0.964,-2.138
chr1,PF3D7_0106700,0.137,-2.771
chr1,PF3D7_0106800,0.264,-2.504
chr1,PF3D7_0106900,0.124,-2.887
chr1,PF3D7_0107000,0.132,-2.849
chr1,PF3D7_0107100,0.199,-3.365
chr1,PF3D7_0107200,1,0.564
chr1,PF3D7_0107300,1,-2.108
chr1,PF3D7_0107400,1,-2.433
chr1,PF3D7_0107500,0.261,-2.596
chr1,PF3D7_0107600,1,-2.835
chr1,PF3D7_0107700,0.479,-1.084
chr1,PF3D7_0107800,1,-0.289
chr1,PF3D7_0107900,0.124,-3.186
chr1,PF3D7_0108000,0.123,-3.212
chr1,PF3D7_0108100,0.133,-2.879
chr1,PF3D7_0108300,1,-2.611
chr1,PF3D7_0108400,1,-2.123
chr1,PF3D7_0108500,1,0
chr1,PF3D7_0108600,0.12,-3.19
chr1,PF3D7_0108700,1,0.113
chr1,PF3D7_0108800,0.143,-3.102
chr1,PF3D7_0109000,0.122,-3.121
chr1,PF3D7_0109100,1,-2.243
chr1,PF3D7_0109200,0.125,-3.001
chr1,PF3D7_0109300,0.168,-2.779
chr1,PF3D7_0109400,0.24,-3.364
chr1,PF3D7_0109500,0.659,-2.369
chr1,PF3D7_0109600,0.247,-3.269
chr1,PF3D7_0109700,0.157,-2.586
chr1,PF3D7_0109800,0.143,-3.147
chr1,PF3D7_0110000,1,-1.016
chr1,PF3D7_0110100,1,-2.697
chr1,PF3D7_0110200,0.208,-2.71
chr1,PF3D7_0110400,0.486,-2.733
chr1,PF3D7_0110500,1,-2.257
chr1,PF3D7_0110600,0.2,-2.765
chr1,PF3D7_0110700,0.157,-3.013
chr1,PF3D7_0110800,0.199,-3.59
chr1,PF3D7_0110900,0.12,-3.014
chr1,PF3D7_0111000,1,-2.224
chr1,PF3D7_0111200,0.339,0
chr1,PF3D7_0111300,0.812,-2.874
chr1,PF3D7_0111400,0.126,-3.209
chr1,PF3D7_0111500,0.12,-3.031
chr1,PF3D7_0111600,0.435,-3.525
chr1,PF3D7_0111700,0.916,-3.898
chr1,PF3D7_0111800,1,0.607
chr1,PF3D7_0111900,0.121,0
chr1,PF3D7_0112000,0.121,-3.108
chr1,PF3D7_0112100,0.754,-2.189
chr1,PF3D7_0112200,1,-1.001
chr1,PF3D7_0112800,0.559,-2.078
chr1,PF3D7_0112900,0.995,-2.003
chr1,PF3D7_0113000,1,-2.159
chr1,PF3D7_0113100,1,0.981
chr1,PF3D7_0113200,1,-1.287
chr1,PF3D7_0113300,0.952,-2.159
chr1,PF3D7_0113400,0.987,-2.317
chr1,PF3D7_0113600,1,-1.467
chr1,PF3D7_0113700,1,-0.674
chr1,PF3D7_0113800,1,-2.076
chr1,PF3D7_0113900,0.256,-2.691
chr1,PF3D7_0114000,1,-1.456
chr1,PF3D7_0114100,1,0.315
chr1,PF3D7_0114200,1,-1.199
chr1,PF3D7_0114300,0.476,-3.206
chr1,PF3D7_0114400,0.782,-2.196
chr1,PF3D7_0114500,0.184,-1.528
chr1,PF3D7_0114600,0.199,-2.528
chr1,PF3D7_0114700,0.987,-2.356
chr1,PF3D7_0114800,0.119,-3.122
chr1,PF3D7_0114900,0.982,-2.415
chr1,PF3D7_0115000,0.999,-2.039
chr1,PF3D7_0115100,0.338,-1.693
chr1,PF3D7_0115200,0.754,-2.168
chr1,PF3D7_0115300,1,0
chr1,PF3D7_0115400,1,-2.412
chr1,PF3D7_0115500,0.816,-2.37
chr1,PF3D7_0115600,0.936,-2.159
chr2,PF3D7_0200100,1,-2.061
chr2,PF3D7_0200200,0.565,-2.598
chr2,PF3D7_0200300,0.864,-2.259
chr2,PF3D7_0200400,1,-1.003
chr2,PF3D7_0200500,0.561,-2.232
chr2,PF3D7_0200600,0.408,-2.486
chr2,PF3D7_0200700,0.243,-2.818
chr2,PF3D7_0200800,0.687,-2.03
chr2,PF3D7_0200900,0.357,-2.467
chr2,PF3D7_0201000,0.438,-2.425
chr2,PF3D7_0201100,0.128,0
chr2,PF3D7_0201200,1,0.778
chr2,PF3D7_0201300,0.853,-2.121
chr2,PF3D7_0201400,0.673,-2.309
chr2,PF3D7_0201500,0.196,-2.845
chr2,PF3D7_0201600,1,-2.037
chr2,PF3D7_0201700,0.214,-2.696
chr2,PF3D7_0201800,1,-2.465
chr2,PF3D7_0201900,1,-0.927
chr2,PF3D7_0202000,1,-1.359
chr2,PF3D7_0202100,0.383,-2.163
chr2,PF3D7_0202200,0.65,-3.049
chr2,PF3D7_0202300,0.121,-2.952
chr2,PF3D7_0202400,1,-2.252
chr2,PF3D7_0202500,1,0
chr2,PF3D7_0202600,0.377,-2.621
chr2,PF3D7_0202700,0.144,-3.162
chr2,PF3D7_0202800,0.725,-2.454
chr2,PF3D7_0202900,0.995,-2.624
chr2,PF3D7_0203000,1,-1.887
chr2,PF3D7_0203100,1,-1.603
chr2,PF3D7_0203200,0.971,-2.198
chr2,PF3D7_0203300,0.156,-3.229
chr2,PF3D7_0203400,0.998,-2.427
chr2,PF3D7_0203600,0.81,-1.784
chr2,PF3D7_0203700,0.391,-2.522
chr2,PF3D7_0203800,1,-0.195
chr2,PF3D7_0203900,0.315,-2.642
chr2,PF3D7_0204000,1,-2.227
chr2,PF3D7_0204100,0.146,-2.863
chr2,PF3D7_0204200,0.689,-2.589
chr2,PF3D7_0204300,1,-2.318
chr2,PF3D7_0204400,0.987,0
chr2,PF3D7_0204500,0.736,0.461
chr2,PF3D7_0204600,1,-1.594
chr2,PF3D7_0204700,0.294,-2.474
chr2,PF3D7_0204800,0.997,-2.714
chr2,PF3D7_0204900,0.321,-2.529
chr2,PF3D7_0205000,1,-0.036
chr2,PF3D7_0205100,1,0.742
chr2,PF3D7_0205200,1,-1.971
chr2,PF3D7_0205300,0.999,-1.296
chr2,PF3D7_0205400,0.131,-2.907
chr2,PF3D7_0205500,0.409,-3.578
chr2,PF3D7_0205600,0.149,-3.187
chr2,PF3D7_0205700,0.298,-3.275
chr2,PF3D7_0205800,0.243,-3.728
chr2,PF3D7_0205900,0.127,-3.218
chr2,PF3D7_0206000,1,-2.445
chr2,PF3D7_0206100,0.272,-3.284
chr2,PF3D7_0206200,1,-2.212
chr2,PF3D7_0206300,1,-0.769
chr2,PF3D7_0206500,0.886,-2.766
chr2,PF3D7_0206600,1,0
chr2,PF3D7_0206700,0.121,-2.994
chr2,PF3D7_0206800,0.988,-2.005
chr2,PF3D7_0206900,0.988,-2.098
chr2,PF3D7_0207000,0.251,-2.64
chr2,PF3D7_0207100,1,-2.608
chr2,PF3D7_0207200,0.195,-3.514
chr2,PF3D7_0207300,0.998,-2.593
chr2,PF3D7_0207400,1,-1.186
chr2,PF3D7_0207500,0.252,-2.761
chr2,PF3D7_0207600,0.2,-2.737
chr2,PF3D7_0207700,1,0.947
chr2,PF3D7_0207800,1,-2.533
chr2,PF3D7_0207900,1,-0.99
chr2,PF3D7_0208000,0.98,-2.772
chr2,PF3D7_0208100,1,-0.081
chr2,PF3D7_0208200,0.372,-2.666
chr2,PF3D7_0208300,0.122,-3.013
chr2,PF3D7_0208400,1,-1.355
chr2,PF3D7_0208500,0.231,-3.465
chr2,PF3D7_0208600,0.183,-2.794
chr2,PF3D7_0208700,0.872,-1.746
chr2,PF3D7_0208800,0.156,-2.83
chr2,PF3D7_0208900,1,-1.524
chr2,PF3D7_0209000,1,-0.851
chr2,PF3D7_0209100,1,-1.821
chr2,PF3D7_0209200,0.262,-2.615
chr2,PF3D7_0209300,0.135,-2.98
chr2,PF3D7_0209400,0.993,-2.677
chr2,PF3D7_0209500,1,-1.47
chr2,PF3D7_0209600,0.136,-2.867
chr2,PF3D7_0209700,0.128,-2.864
chr2,PF3D7_0209800,0.257,-2.606
chr2,PF3D7_0210000,0.121,0
chr2,PF3D7_0210100,0.126,-3.711
chr2,PF3D7_0210200,1,-2.859
chr2,PF3D7_0210300,0.12,-2.961
chr2,PF3D7_0210400,0.251,-3.272
chr2,PF3D7_0210500,0.122,-3.092
chr2,PF3D7_0210600,0.234,-2.616
chr2,PF3D7_0210700,0.21,-3.264
chr2,PF3D7_0210800,0.394,-3.606
chr2,PF3D7_0210900,0.822,-1.794
chr2,PF3D7_0211100,1,-2.519
chr2,PF3D7_0211200,0.385,-2.515
chr2,PF3D7_0211300,0.122,-3.074
chr2,PF3D7_0211400,0.855,-2.982
chr2,PF3D7_0211500,1,-1.135
chr2,PF3D7_0211600,0.12,-3.101
chr2,PF3D7_0211700,1,-2.366
chr2,PF3D7_0211800,0.184,-2.765
chr2,PF3D7_0211900,0.143,-3.129
chr2,PF3D7_0212000,0.138,-3.212
chr2,PF3D7_0212100,0.234,-2.686
chr2,PF3D7_0212200,0.125,-2.93
chr2,PF3D7_0212300,0.122,-3.662
chr2,PF3D7_0212400,0.91,-2.893
chr2,PF3D7_0212500,0.12,-3.048
chr2,PF3D7_0212600,0.966,-2.553
chr2,PF3D7_0212700,0.139,-3.01
chr2,PF3D7_0212800,1,-2.497
chr2,PF3D7_0212900,0.999,-0.947
chr2,PF3D7_0213000,0.135,-3.027
chr2,PF3D7_0213100,0.238,-2.617
chr2,PF3D7_0213200,0.141,-3.225
chr2,PF3D7_0213300,0.124,0
chr2,PF3D7_0213400,1,0.959
chr2,PF3D7_0213500,1,-1.843
chr2,PF3D7_0213600,1,-0.387
chr2,PF3D7_0213700,0.976,-2.087
chr2,PF3D7_0213800,1,-0.384
chr2,PF3D7_0213900,0.184,-2.747
chr2,PF3D7_0214000,0.182,-3.405
chr2,PF3D7_0214100,0.209,-2.744
chr2,PF3D7_0214200,0.255,0
chr2,PF3D7_0214300,1,0.214
chr2,PF3D7_0214400,0.227,-2.768
chr2,PF3D7_0214500,0.121,-3.055
chr2,PF3D7_0214600,1,-2.581
chr2,PF3D7_0214700,0.378,-2.578
chr2,PF3D7_0214800,0.123,-3.051
chr2,PF3D7_0214900,0.937,-2.316
chr2,PF3D7_0215000,1,0.232
chr2,PF3D7_0215100,0.363,0
chr2,PF3D7_0215200,0.746,-2.274
chr2,PF3D7_0215300,1,-1.796
chr2,PF3D7_0215400,1,-1.789
chr2,PF3D7_0215500,1,-0.99
chr2,PF3D7_0215600,0.539,-2.467
chr2,PF3D7_0215700,0.166,-2.783
chr2,PF3D7_0215800,0.128,-2.848
chr2,PF3D7_0215900,0.995,-2.633
chr2,PF3D7_0216000,1,-0.504
chr2,PF3D7_0216100,0.121,-3.094
chr2,PF3D7_0216200,0.335,-2.444
chr2,PF3D7_0216300,0.129,-2.93
chr2,PF3D7_0216400,0.122,-2.861
chr2,PF3D7_0216500,1,0.293
chr2,PF3D7_0216600,0.178,-2.821
chr2,PF3D7_0216700,0.12,-2.998
chr2,PF3D7_0216800,0.399,-2.547
chr2,PF3D7_0216900,1,0.104
chr2,PF3D7_0217000,1,0.002
chr2,PF3D7_0217100,0.141,-2.779
chr2,PF3D7_0217200,0.198,-2.728
chr2,PF3D7_0217300,0.198,0
chr2,PF3D7_0217400,0.138,-2.82
chr2,PF3D7_0217500,0.27,-2.631
chr2,PF3D7_0217600,0.172,-2.811
chr2,PF3D7_0217700,0.668,-3.009
chr2,PF3D7_0217800,0.169,-2.899
chr2,PF3D7_0217900,0.123,-2.997
chr2,PF3D7_0218000,0.12,-3.168
chr2,PF3D7_0218100,0.145,-2.86
chr2,PF3D7_0218200,1,-1.565
chr2,PF3D7_0218300,0.97,-2.069
chr2,PF3D7_0218400,0.126,-3.044
chr2,PF3D7_0218500,0.165,-3.319
chr2,PF3D7_0218600,0.84,-3.005
chr2,PF3D7_0218700,0.127,-3.175
chr2,PF3D7_0219100,1,0.843
chr2,PF3D7_0219200,0.125,-3.066
chr2,PF3D7_0219300,0.923,0
chr2,PF3D7_0219400,0.146,-3.231
chr2,PF3D7_0219500,1,-1.492
chr2,PF3D7_0219600,0.125,-2.912
chr2,PF3D7_0219700,0.137,-3.471
chr2,PF3D7_0219800,1,-2.084
chr2,PF3D7_0219900,0.228,-3.439
chr2,PF3D7_0220000,1,-0.002
chr2,PF3D7_0220100,0.125,-3.131
chr2,PF3D7_0220200,0.339,-3.604
chr2,PF3D7_0220300,0.817,-2.119
chr2,PF3D7_0220400,1,-1.511
chr2,PF3D7_0220500,0.126,-3.119
chr2,PF3D7_0220600,0.132,-3.046
chr2,PF3D7_0220700,0.124,-2.734
chr2,PF3D7_0220800,1,0.04
chr2,PF3D7_0220900,0.389,-3.298
chr2,PF3D7_0221000,0.997,-2.773
chr2,PF3D7_0221100,0.979,-2.744
chr2,PF3D7_0221200,0.94,-2.907
chr2,PF3D7_0221300,0.135,-2.91
chr2,PF3D7_0221400,0.861,-2.451
chr2,PF3D7_0221500,0.122,-2.964
chr2,PF3D7_0221600,0.124,-2.84
chr2,PF3D7_0221700,0.999,-0.891
chr2,PF3D7_0221800,0.12,-3.079
chr2,PF3D7_0221900,1,-0.998
chr2,PF3D7_0222000,0.127,-2.783
chr2,PF3D7_0222100,1,-0.777
chr2,PF3D7_0222200,0.795,-2.999
chr2,PF3D7_0222300,0.126,-2.935
chr2,PF3D7_0222400,0.885,-2.189
chr2,PF3D7_0222500,0.691,-2.535
chr2,PF3D7_0222600,0.754,-2.463
chr2,PF3D7_0222700,0.647,-2.297
chr2,PF3D7_0222800,0.256,-2.511
chr2,PF3D7_0222900,0.754,-2.487
chr2,PF3D7_0223100,0.18,-2.762
chr2,PF3D7_0223200,1,-1.645
chr2,PF3D7_0223300,0.943,-2.01
chr2,PF3D7_0223400,0.344,-2.339
chr3,PF3D7_0300100,1,0.144
chr3,PF3D7_0300200,0.126,-3.038
chr3,PF3D7_0300300,0.784,-2.186
chr3,PF3D7_0300400,0.561,-2.368
chr3,PF3D7_0300500,0.997,-2.175
chr3,PF3D7_0300600,0.128,-2.728
chr3,PF3D7_0300700,0.982,-2.016
chr3,PF3D7_0300800,0.999,-1.649
chr3,PF3D7_0300900,0.274,-2.663
chr3,PF3D7_0301000,0.121,-2.996
chr3,PF3D7_0301100,0.124,-3.204
chr3,PF3D7_0301200,0.129,-3.073
chr3,PF3D7_0301300,0.981,-1.86
chr3,PF3D7_0301400,0.171,-2.773
chr3,PF3D7_0301500,0.12,-3.127
chr3,PF3D7_0301600,0.996,-2.439
chr3,PF3D7_0301700,0.898,-2.273
chr3,PF3D7_0301800,0.32,-2.725
chr3,PF3D7_0301900,0.141,-3.159
chr3,PF3D7_0302000,0.124,-3.009
chr3,PF3D7_0302100,0.991,-2.546
chr3,PF3D7_0302200,0.932,-2.926
chr3,PF3D7_0302300,1,-0.99
chr3,PF3D7_0302500,1,-2.547
chr3,PF3D7_0302600,1,-1.805
chr3,PF3D7_0302700,0.12,-2.948
chr3,PF3D7_0302800,0.12,-3.069
chr3,PF3D7_0302900,0.127,-3.224
chr3,PF3D7_0303000,0.186,-3.241
chr3,PF3D7_0303100,1,-0.478
chr3,PF3D7_0303200,0.409,-2.458
chr3,PF3D7_0303300,0.147,-3.103
chr3,PF3D7_0303400,0.127,-3.224
chr3,PF3D7_0303500,0.124,-2.943
chr3,PF3D7_0303600,0.185,-3.715
chr3,PF3D7_0303700,0.576,-3.123
chr3,PF3D7_0303800,0.96,-2.875
chr3,PF3D7_0303900,0.993,-2.694
chr3,PF3D7_0304000,1,-2.253
chr3,PF3D7_0304100,0.858,-2.319
chr3,PF3D7_0304200,0.73,0.766
chr3,PF3D7_0304300,1,0.257
chr3,PF3D7_0304400,0.981,-2.234
chr3,PF3D7_0304500,0.418,-2.494
chr3,PF3D7_0304600,0.962,-2.132
chr3,PF3D7_0304700,1,-0.931
chr3,PF3D7_0304800,0.14,-2.945
chr3,PF3D7_0304900,0.2,-2.864
chr3,PF3D7_0305000,0.154,-2.741
chr3,PF3D7_0305100,1,-1.219
chr3,PF3D7_0305200,1,-0.894
chr3,PF3D7_0305300,1,-1.973
chr3,PF3D7_0305400,0.12,-2.994
chr3,PF3D7_0305500,0.12,-3.068
chr3,PF3D7_0305600,0.166,-2.904
chr3,PF3D7_0305700,0.202,0
chr3,PF3D7_0305800,1,0.524
chr3,PF3D7_0305900,0.145,-2.704
chr3,PF3D7_0306000,0.91,-2.849
chr3,PF3D7_0306100,0.125,-2.924
chr3,PF3D7_0306200,0.854,-3.363
chr3,PF3D7_0306300,0.134,-3.137
chr3,PF3D7_0306400,0.988,-2.349
chr3,PF3D7_0306500,0.174,-2.693
chr3,PF3D7_0306600,0.119,-3.029
chr3,PF3D7_0306700,0.449,-3.391
chr3,PF3D7_0306800,0.191,-2.7
chr3,PF3D7_0306900,0.139,-2.925
chr3,PF3D7_0307100,0.474,-2.312
chr3,PF3D7_0307200,0.137,-3.165
chr3,PF3D7_0307300,1,-1.844
chr3,PF3D7_0307400,0.12,-3.078
chr3,PF3D7_0307500,0.12,-2.971
chr3,PF3D7_0307600,0.923,-1.227
chr3,PF3D7_0307700,0.776,-2.472
chr3,PF3D7_0307800,0.152,-2.753
chr3,PF3D7_0307900,1,-1.196
chr3,PF3D7_0308000,0.129,-2.834
chr3,PF3D7_0308100,1,0.095
chr3,PF3D7_0308200,0.134,-3.235
chr3,PF3D7_0308300,0.122,-2.985
chr3,PF3D7_0308500,0.46,-2.208
chr3,PF3D7_0308600,0.145,-2.928
chr3,PF3D7_0308700,0.121,-2.862
chr3,PF3D7_0308800,0.519,-2.639
chr3,PF3D7_0308900,0.12,-2.922
chr3,PF3D7_0309000,0.13,-2.824
chr3,PF3D7_0309100,1,0
chr3,PF3D7_0309200,0.199,-2.77
chr3,PF3D7_0309300,1,-0.694
chr3,PF3D7_0309500,1,-2.521
chr3,PF3D7_0309600,0.132,-3.225
chr3,PF3D7_0309700,1,0.173
chr3,PF3D7_0309800,0.281,-2.656
chr3,PF3D7_0309900,1,-0.484
chr3,PF3D7_0310000,0.137,-2.751
chr3,PF3D7_0310100,1,-3.018
chr3,PF3D7_0310200,1,-2.583
chr3,PF3D7_0310300,1,0.153
chr3,PF3D7_0310400,0.192,-2.732
chr3,PF3D7_0310500,0.979,-2.667
chr3,PF3D7_0310600,0.211,-3.232
chr3,PF3D7_0310700,0.133,-2.731
chr3,PF3D7_0310800,0.138,-3.06
chr3,PF3D7_0310900,0.191,-2.707
chr3,PF3D7_0311000,0.123,-3.032
chr3,PF3D7_0311100,1,-2.076
chr3,PF3D7_0311200,0.12,-2.924
chr3,PF3D7_0311300,0.134,-2.974
chr3,PF3D7_0311400,1,-2.03
chr3,PF3D7_0311500,0.754,0.908
chr3,PF3D7_0311600,0.136,-3.075
chr3,PF3D7_0311700,1,-0.936
chr3,PF3D7_0311800,0.12,-3.078
chr3,PF3D7_0311900,0.12,-3.078
chr3,PF3D7_0312000,0.411,-2.236
chr3,PF3D7_0312100,0.169,-2.759
chr3,PF3D7_0312200,1,-2.202
chr3,PF3D7_0312300,0.129,-3.194
chr3,PF3D7_0312400,0.152,-2.791
chr3,PF3D7_0312500,1,-1.543
chr3,PF3D7_0312800,0.119,-3.099
chr3,PF3D7_0312900,0.989,-1.991
chr3,PF3D7_0313000,0.999,-1.935
chr3,PF3D7_0313100,0.276,-2.628
chr3,PF3D7_0313200,0.372,-2.587
chr3,PF3D7_0313300,0.12,-3.133
chr3,PF3D7_0313400,0.155,-2.815
chr3,PF3D7_0313500,0.12,-3.123
chr3,PF3D7_0313600,0.814,-2.108
chr3,PF3D7_0313700,0.128,-2.975
chr3,PF3D7_0313800,0.126,-3.084
chr3,PF3D7_0313900,1,-1.457
chr3,PF3D7_0314000,0.682,-2.312
chr3,PF3D7_0314100,0.12,-2.94
chr3,PF3D7_0314200,0.143,-3.219
chr3,PF3D7_0314300,0.141,-3.281
chr3,PF3D7_0314400,0.12,-3.016
chr3,PF3D7_0314500,0.985,-2.054
chr3,PF3D7_0314600,1,-0.404
chr3,PF3D7_0314700,1,-0.196
chr3,PF3D7_0314800,0.12,-2.971
chr3,PF3D7_0314900,1,0.431
chr3,PF3D7_0315000,0.608,-2.548
chr3,PF3D7_0315100,0.335,-2.613
chr3,PF3D7_0315200,1,0.068
chr3,PF3D7_0315300,1,-2.563
chr3,PF3D7_0315400,0.119,-3.044
chr3,PF3D7_0315500,0.282,-3.718
chr3,PF3D7_0315600,1,0.353
chr3,PF3D7_0315700,1,0.319
chr3,PF3D7_0315800,0.998,0.28
chr3,PF3D7_0315900,0.123,-3.175
chr3,PF3D7_0316000,0.162,-3.384
chr3,PF3D7_0316100,0.134,-3.139
chr3,PF3D7_0316200,1,-1.923
chr3,PF3D7_0316300,0.971,-2.948
chr3,PF3D7_0316400,0.381,-2.514
chr3,PF3D7_0316500,0.202,-3.327
chr3,PF3D7_0316600,0.869,-2.06
chr3,PF3D7_0316700,0.121,-3.11
chr3,PF3D7_0316800,0.133,-3.103
chr3,PF3D7_0316900,1,-2.411
chr3,PF3D7_0317000,0.191,-2.809
chr3,PF3D7_0317100,1,-0.276
chr3,PF3D7_0317200,0.325,-2.565
chr3,PF3D7_0317300,0.12,-3.118
chr3,PF3D7_0317400,0.127,-2.853
chr3,PF3D7_0317500,1,-0.249
chr3,PF3D7_0317600,0.987,-2.687
chr3,PF3D7_0317700,0.408,-2.51
chr3,PF3D7_0317800,0.12,-2.987
chr3,PF3D7_0317900,0.128,-3.294
chr3,PF3D7_0318000,0.611,-2.268
chr3,PF3D7_0318100,0.926,-2.4
chr3,PF3D7_0318200,0.144,-2.838
chr3,PF3D7_0318300,0.996,-2.963
chr3,PF3D7_0318400,0.993,-2.155
chr3,PF3D7_0318500,1,-1.816
chr3,PF3D7_0318600,0.138,-2.812
chr3,PF3D7_0318700,0.975,-1.256
chr3,PF3D7_0318800,0.799,-2.996
chr3,PF3D7_0318900,0.12,-2.902
chr3,PF3D7_0319000,1,-0.599
chr3,PF3D7_0319100,0.987,-1.971
chr3,PF3D7_0319200,1,-1.786
chr3,PF3D7_0319300,0.986,-1.899
chr3,PF3D7_0319400,1,0.037
chr3,PF3D7_0319500,0.869,-2.193
chr3,PF3D7_0319600,0.155,-2.75
chr3,PF3D7_0319700,0.547,-3.154
chr3,PF3D7_0319800,0.469,-3.138
chr3,PF3D7_0319900,0.156,-2.675
chr3,PF3D7_0320000,0.513,0
chr3,PF3D7_0320100,0.163,-3.721
chr3,PF3D7_0320200,1,-2.188
chr3,PF3D7_0320300,0.119,-3.368
chr3,PF3D7_0320400,1,0.285
chr3,PF3D7_0320500,0.145,-3.167
chr3,PF3D7_0320600,0.608,-3.221
chr3,PF3D7_0320700,0.5,0
chr3,PF3D7_0320800,1,-1.795
chr3,PF3D7_0320900,0.16,-3.448
chr3,PF3D7_0321000,0.213,-2.651
chr3,PF3D7_0321100,1,-2.053
chr3,PF3D7_0321200,0.131,-2.94
chr3,PF3D7_0321300,1,-2.265
chr3,PF3D7_0321400,0.31,-2.59
chr3,PF3D7_0321500,1,0.011
chr3,PF3D7_0321600,1,0.124
chr3,PF3D7_0321700,0.163,-2.773
chr3,PF3D7_0321800,0.243,-2.635
chr3,PF3D7_0321900,0.187,-2.781
chr3,PF3D7_0322000,1,0
chr3,PF3D7_0322100,0.901,-2.393
chr3,PF3D7_0322200,0.693,-0.397
chr3,PF3D7_0322300,0.199,-2.812
chr3,PF3D7_0322400,0.146,-2.823
chr3,PF3D7_0322500,0.987,-2.083
chr3,PF3D7_0322600,1,-2.863
chr3,PF3D7_0322700,0.14,-2.941
chr3,PF3D7_0322800,1,-0.976
chr3,PF3D7_0322900,0.13,-2.796
chr3,PF3D7_0323000,0.178,-3.031
chr3,PF3D7_0323100,0.131,-2.925
chr3,PF3D7_0323200,0.122,-3.225
chr3,PF3D7_0323300,0.131,-3.005
chr3,PF3D7_0323400,0.988,-2.702
chr3,PF3D7_0323500,0.122,-2.931
chr3,PF3D7_0323600,0.2,-3.309
chr3,PF3D7_0323700,0.432,-2.425
chr3,PF3D7_0323800,1,-2.909
chr3,PF3D7_0323900,1,-1.825
chr3,PF3D7_0324000,1,-2.579
chr3,PF3D7_0324100,0.999,-2.453
chr3,PF3D7_0324200,0.795,-1.67
chr3,PF3D7_0324300,0.151,-2.817
chr3,PF3D7_0324400,1,-0.673
chr3,PF3D7_0324500,0.898,-2.014
chr3,PF3D7_0324600,0.967,-2.076
chr3,PF3D7_0324700,0.966,-2.193
chr3,PF3D7_0324800,1,-2.954
chr4,PF3D7_0400100,1,-0.358
chr4,PF3D7_0400200,0.245,-2.598
chr4,PF3D7_0400300,0.137,-2.792
chr4,PF3D7_0400400,0.977,-2.248
chr4,PF3D7_0400500,1,-2.303
chr4,PF3D7_0400600,0.146,-2.793
chr4,PF3D7_0400700,0.221,-2.502
chr4,PF3D7_0400800,1,-0.988
chr4,PF3D7_0400900,0.12,-2.908
chr4,PF3D7_0401000,0.647,-2.308
chr4,PF3D7_0401100,0.128,-2.665
chr4,PF3D7_0401200,0.981,-2.383
chr4,PF3D7_0401300,0.408,-2.476
chr4,PF3D7_0401400,0.145,-2.706
