Gene,Number_of_Haplotypes,Number_of_Haplotypes_Above_25_Samples
PF3D7_0312900,146,5
PF3D7_0313000,199,11
PF3D7_0313100,172,8
PF3D7_0313200,64,1
PF3D7_0313300,57,4
PF3D7_0313400,532,20
PF3D7_0313500,528,30
PF3D7_0313600,1028,23
PF3D7_0313700,97,7
PF3D7_0313800,241,8
PF3D7_0313900,1064,26
PF3D7_0314000,42,2
PF3D7_0314100,42,4
PF3D7_0314200,775,25
PF3D7_0314300,95,5
PF3D7_0314400,12,1
PF3D7_0314500,55,1
PF3D7_0314600,114,6
PF3D7_0314700,501,22
PF3D7_0314800,438,15
PF3D7_0314900,184,10
PF3D7_0315000,31,4
PF3D7_0315100,13,1
PF3D7_0315200,654,25
PF3D7_0315300,638,21
PF3D7_0315400,83,5
PF3D7_0315500,34,2
PF3D7_0315600,220,7
PF3D7_0315700,165,9
PF3D7_0315800,175,8
PF3D7_0315900,34,2
PF3D7_0316000,97,10
PF3D7_0316100,90,4
PF3D7_0316200,2467,50
PF3D7_0316300,80,3
PF3D7_0316400,361,13
PF3D7_0316500,56,2
PF3D7_0316600,45,6
PF3D7_0316700,33,4
PF3D7_0316800,4,1
PF3D7_0316900,214,10
PF3D7_0317000,32,2
PF3D7_0317100,458,14
PF3D7_0317200,681,27
PF3D7_0317300,406,1
PF3D7_0317400,71,3
PF3D7_0317500,1262,39
PF3D7_0317600,14,2
PF3D7_0317700,157,2
PF3D7_0317800,90,4
PF3D7_0317900,164,5
PF3D7_0318000,108,4
PF3D7_0318100,51,3
PF3D7_0318200,1297,53
PF3D7_0318300,419,25
PF3D7_0318400,304,15
PF3D7_0318500,1758,23
PF3D7_0318600,312,9
PF3D7_0318700,68,8
PF3D7_0318800,105,5
PF3D7_0318900,187,8
PF3D7_0319000,366,19
PF3D7_0319100,13,1
PF3D7_0319200,515,29
PF3D7_0319300,13,1
PF3D7_0319400,322,9
PF3D7_0319500,131,11
PF3D7_0319600,64,4
PF3D7_0319700,1523,38
PF3D7_0319800,196,8
PF3D7_0319900,79,2
PF3D7_0320000,20,4
PF3D7_0320100,21,2
PF3D7_0320200,242,11
PF3D7_0320300,42,1
PF3D7_0320400,2365,57
PF3D7_0320500,142,7
PF3D7_0320600,19,1
PF3D7_0320700,46,5
PF3D7_0320800,8,1
PF3D7_0320900,3,1
PF3D7_0321000,262,7
PF3D7_0321100,1005,22
PF3D7_0321200,111,12
PF3D7_0321300,1336,44
PF3D7_0321400,86,2
PF3D7_0321500,901,36
PF3D7_0321600,353,13
PF3D7_0321700,1127,28
PF3D7_0321800,2874,26
PF3D7_0321900,746,25
PF3D7_0322000,17,3
PF3D7_0322100,218,5
PF3D7_0322200,437,18
PF3D7_0322300,182,11
PF3D7_0322400,479,20
PF3D7_0322500,125,6
PF3D7_0322600,1669,56
PF3D7_0322700,1368,16
PF3D7_0322800,87,4
PF3D7_0322900,12,1
PF3D7_0323000,4,1
PF3D7_0323100,947,36
PF3D7_0323200,183,9
PF3D7_0323300,146,7
PF3D7_0323400,386,43
PF3D7_0323500,60,4
PF3D7_0323600,148,8
PF3D7_0323700,245,14
PF3D7_0323800,233,13
PF3D7_0401600,1197,91
PF3D7_0401800,334,22
PF3D7_0401900,1768,54
PF3D7_0402000,537,53
PF3D7_0402100,288,16
PF3D7_0402300,4614,29
PF3D7_0402400,182,29
PF3D7_0402600,524,20
PF3D7_0402900,78,6
PF3D7_0403100,298,9
PF3D7_0403200,227,6
PF3D7_0403300,67,5
PF3D7_0403400,2169,11
PF3D7_0403500,97,7
PF3D7_0403600,475,29
PF3D7_0403700,442,28
PF3D7_0403800,424,15
PF3D7_0403900,756,24
PF3D7_0404000,23,1
PF3D7_0404100,344,4
PF3D7_0404200,64,3
PF3D7_0404300,284,11
PF3D7_0404400,94,7
PF3D7_0404500,260,28
PF3D7_0404600,1372,4
PF3D7_0404700,308,14
PF3D7_0404800,403,19
PF3D7_0404900,220,13
PF3D7_0405000,214,8
PF3D7_0405100,647,17
PF3D7_0405200,93,5
PF3D7_0405300,1333,1
PF3D7_0405400,813,29
PF3D7_0405500,155,5
PF3D7_0405600,73,4
PF3D7_0405700,1716,28
PF3D7_0405800,28,2
PF3D7_0405900,399,18
PF3D7_0406000,223,10
PF3D7_0406100,23,1
PF3D7_0406200,29,5
PF3D7_0406400,49,3
PF3D7_0406500,113,1
PF3D7_0406600,39,2
PF3D7_0406700,323,11
PF3D7_0406800,74,4
PF3D7_0406900,1139,19
PF3D7_0407000,222,15
PF3D7_0407100,130,6
PF3D7_0407200,95,2
PF3D7_0407300,183,11
PF3D7_0407400,60,4
PF3D7_0407500,59,4
PF3D7_0407600,735,11
PF3D7_0407700,247,4
PF3D7_0407800,734,28
PF3D7_0407900,139,6
PF3D7_0408000,93,10
PF3D7_0408100,571,20
PF3D7_0408200,305,10
PF3D7_0408300,140,3
PF3D7_0408400,135,6
PF3D7_0408500,167,8
PF3D7_0408600,1230,56
PF3D7_0408700,833,62
PF3D7_0408800,97,7
PF3D7_0408900,293,11
PF3D7_0409000,2064,28
PF3D7_0409100,142,9
PF3D7_0409200,104,6
PF3D7_0409300,573,15
PF3D7_0409400,186,5
PF3D7_0409500,33,3
PF3D7_0409600,409,21
PF3D7_0409700,65,2
PF3D7_0409800,254,12
PF3D7_0409900,98,2
PF3D7_0410000,247,12
PF3D7_0410300,379,25
PF3D7_0410400,61,1
PF3D7_0410500,42,5
PF3D7_0410600,44,1
PF3D7_0410700,226,9
PF3D7_0410800,1373,35
PF3D7_0410900,359,16
PF3D7_0411000,858,35
PF3D7_0411100,43,4
PF3D7_0411200,738,30
PF3D7_0411300,386,18
PF3D7_0411400,698,22
PF3D7_0411500,2,1
PF3D7_0411600,1,1
PF3D7_0411700,86,3
PF3D7_0411800,186,3
PF3D7_0411900,697,30
PF3D7_0412000,642,29
PF3D7_0412100,125,16
PF3D7_0412200,114,7
PF3D7_0412300,353,49
PF3D7_0413500,25,4
PF3D7_0413600,10,1
PF3D7_0413700,27,2
PF3D7_0413800,43,4
PF3D7_0413900,147,7
PF3D7_0414000,187,12
PF3D7_0414100,684,45
PF3D7_0414200,31,4
PF3D7_0414300,24,2
PF3D7_0414400,153,10
PF3D7_0414500,29,1
PF3D7_0414600,31,4
PF3D7_0414700,133,11
PF3D7_0414800,95,4
PF3D7_0414900,15,2
PF3D7_0415000,35,2
PF3D7_0415100,85,4
PF3D7_0415200,1520,31
PF3D7_0415300,288,18
PF3D7_0415400,31,2
PF3D7_0415500,28,3
PF3D7_0415600,45,4
PF3D7_0415700,109,6
PF3D7_0415800,872,38
PF3D7_0415900,12,1
PF3D7_0416000,145,8
PF3D7_0416100,185,14
PF3D7_0416200,50,2
PF3D7_0416300,300,10
PF3D7_0416400,276,11
PF3D7_0416500,56,3
PF3D7_0416600,48,5
PF3D7_0416700,11,1
PF3D7_0416800,8,2
PF3D7_0416900,320,12
PF3D7_0417000,34,4
PF3D7_0417100,23,3
PF3D7_0417200,31,9
PF3D7_0417300,61,5
PF3D7_0417400,718,2
PF3D7_0417500,58,2
PF3D7_0417600,233,12
PF3D7_0417700,146,5
PF3D7_0417800,240,13
PF3D7_0417900,562,38
PF3D7_0418000,1721,12
PF3D7_0418100,630,20
PF3D7_0418200,47,3
PF3D7_0418300,571,17
PF3D7_0418400,30,3
PF3D7_0418500,25,4
PF3D7_0418600,1060,27
PF3D7_0418700,439,21
PF3D7_0418800,32,2
PF3D7_0418900,143,7
PF3D7_0419000,185,6
PF3D7_0419100,84,3
PF3D7_0419200,33,1
PF3D7_0419300,76,4
PF3D7_0419400,1778,27
PF3D7_0419500,195,11
PF3D7_0419600,57,1
PF3D7_0419700,124,10
PF3D7_0419800,60,1
PF3D7_0419900,760,1
PF3D7_0420000,1229,7
PF3D7_0420100,330,12
PF3D7_0420200,478,43
PF3D7_0420300,2601,23
PF3D7_0420400,136,12
PF3D7_0420500,77,2
PF3D7_0420600,292,24
PF3D7_0421700,2775,23
PF3D7_0421800,28,4
PF3D7_0421900,36,3
PF3D7_0422000,69,2
PF3D7_0422100,218,14
PF3D7_0422200,1872,5
PF3D7_0422300,6,1
PF3D7_0422400,16,1
PF3D7_0422500,2028,51
PF3D7_0422600,24,2
PF3D7_0422700,24,1
PF3D7_0422800,203,17
PF3D7_0422900,87,2
PF3D7_0423000,164,10
PF3D7_0423100,19,2
PF3D7_0423200,29,2
PF3D7_0423300,247,8
PF3D7_0423400,130,6
PF3D7_0423500,32,1
PF3D7_0423600,353,8
PF3D7_0423700,49,10
PF3D7_0423800,157,13
PF3D7_0423900,170,14
PF3D7_0424000,301,14
PF3D7_0424100,171,17
PF3D7_0424200,991,32
PF3D7_0424400,1172,6
PF3D7_0424500,189,10
PF3D7_0424600,125,25
PF3D7_0424700,98,4
PF3D7_0424800,129,10
PF3D7_0424900,166,26
PF3D7_0425100,191,31
PF3D7_0425200,269,43
PF3D7_0500800,93,4
PF3D7_0500900,195,12
PF3D7_0501000,77,11
PF3D7_0501100,60,6
PF3D7_0501200,151,20
PF3D7_0501300,285,43
PF3D7_0501400,31,1
PF3D7_0501500,60,7
PF3D7_0501600,57,17
PF3D7_0501700,213,16
PF3D7_0501800,428,27
PF3D7_0501900,99,8
PF3D7_0502000,511,23
PF3D7_0502100,103,9
PF3D7_0502200,184,8
PF3D7_0502300,115,2
PF3D7_0502400,584,23
PF3D7_0502500,283,11
PF3D7_0502600,742,17
PF3D7_0502700,101,3
PF3D7_0502800,47,2
PF3D7_0502900,14,2
PF3D7_0503000,80,3
PF3D7_0503100,376,20
PF3D7_0503200,682,34
PF3D7_0503300,62,3
PF3D7_0503400,3,1
PF3D7_0503500,493,15
PF3D7_0503600,205,9
PF3D7_0503800,11,2
PF3D7_0503900,239,17
PF3D7_0504000,1120,27
PF3D7_0504100,44,3
PF3D7_0504200,177,10
PF3D7_0504300,109,4
PF3D7_0504400,273,18
PF3D7_0504500,55,4
PF3D7_0504600,44,2
PF3D7_0504700,0,0
PF3D7_0504800,1020,12
PF3D7_0504900,16,2
PF3D7_0505000,551,6
PF3D7_0505100,821,13
PF3D7_0505200,233,6
PF3D7_0505300,190,8
PF3D7_0505400,187,6
PF3D7_0505500,252,13
PF3D7_0505600,145,4
PF3D7_0505700,390,17
PF3D7_0505800,7,1
PF3D7_0505900,32,1
PF3D7_0506000,96,4
PF3D7_0506100,46,2
PF3D7_0506200,120,9
PF3D7_0506300,177,10
PF3D7_0506400,36,2
PF3D7_0506500,684,6
PF3D7_0506700,522,21
PF3D7_0506800,453,18
PF3D7_0506900,348,46
PF3D7_0507000,25,1
PF3D7_0507100,47,2
PF3D7_0507200,232,11
PF3D7_0507300,851,47
PF3D7_0507400,41,2
PF3D7_0507500,251,16
PF3D7_0507600,272,16
PF3D7_0507700,114,4
PF3D7_0507800,515,3
PF3D7_0507900,31,1
PF3D7_0508000,547,64
PF3D7_0508100,759,28
PF3D7_0508200,23,1
PF3D7_0508300,49,3
PF3D7_0508400,133,4
PF3D7_0508500,682,16
PF3D7_0508600,235,21
PF3D7_0508700,637,16
PF3D7_0508800,67,5
PF3D7_0508900,471,1
PF3D7_0509000,43,1
PF3D7_0509100,576,27
PF3D7_0509200,117,6
PF3D7_0509300,34,5
PF3D7_0509400,1414,24
PF3D7_0509500,89,5
PF3D7_0509600,278,13
PF3D7_0509700,155,5
PF3D7_0509800,525,13
PF3D7_0509900,71,4
PF3D7_0510000,164,5
PF3D7_0510100,1524,25
PF3D7_0510200,185,3
PF3D7_0510300,31,1
PF3D7_0510400,137,10
PF3D7_0510500,145,10
PF3D7_0510700,112,6
PF3D7_0510800,137,6
PF3D7_0511000,18,2
PF3D7_0511100,26,4
PF3D7_0511200,88,6
PF3D7_0511300,942,40
PF3D7_0511400,484,59
PF3D7_0511500,1248,8
PF3D7_0511600,46,2
PF3D7_0511700,61,4
PF3D7_0511800,83,1
PF3D7_0511900,247,11
PF3D7_0512000,10,1
PF3D7_0512100,39,5
PF3D7_0512200,426,19
PF3D7_0512300,43,2
PF3D7_0512400,122,8
PF3D7_0512500,221,9
PF3D7_0512600,8,2
PF3D7_0512700,66,3
PF3D7_0512800,256,14
PF3D7_0512900,90,3
PF3D7_0513000,40,2
PF3D7_0513100,26,2
PF3D7_0513200,1121,16
PF3D7_0513300,44,10
PF3D7_0513400,49,4
PF3D7_0513500,10,1
PF3D7_0513600,862,34
PF3D7_0513700,247,13
PF3D7_0513800,10,1
PF3D7_0513900,96,1
PF3D7_0514000,43,2
PF3D7_0514100,535,17
PF3D7_0514200,360,16
PF3D7_0514300,762,30
PF3D7_0514500,61,3
PF3D7_0514600,26,2
PF3D7_0514700,415,16
PF3D7_0514800,634,27
PF3D7_0514900,216,16
PF3D7_0515000,377,21
PF3D7_0515100,229,8
PF3D7_0515200,60,4
PF3D7_0515300,320,12
PF3D7_0515400,290,13
PF3D7_0515500,1117,55
PF3D7_0515600,436,14
PF3D7_0515700,43,5
PF3D7_0515800,18,1
PF3D7_0515900,31,1
PF3D7_0516000,423,21
PF3D7_0516100,701,7
PF3D7_0516200,9,1
PF3D7_0516300,248,25
PF3D7_0516400,94,3
PF3D7_0516500,65,2
PF3D7_0516600,814,29
PF3D7_0516700,264,8
PF3D7_0516800,439,19
PF3D7_0516900,22,2
PF3D7_0517000,11,1
PF3D7_0517100,143,6
PF3D7_0517200,389,20
PF3D7_0517300,17,1
PF3D7_0517400,378,26
PF3D7_0517500,185,18
PF3D7_0517600,77,7
PF3D7_0517700,32,1
PF3D7_0517800,99,3
PF3D7_0517900,114,3
PF3D7_0518000,98,4
PF3D7_0518100,865,39
PF3D7_0518200,28,1
PF3D7_0518300,33,2
PF3D7_0518400,44,3
PF3D7_0518500,390,14
PF3D7_0518600,412,15
PF3D7_0518700,561,15
PF3D7_0518800,72,5
PF3D7_0518900,75,1
PF3D7_0519000,113,8
PF3D7_0519100,15,1
PF3D7_0519200,17,7
PF3D7_0519300,303,25
PF3D7_0519400,19,5
PF3D7_0519500,734,22
PF3D7_0519600,337,10
PF3D7_0519700,49,4
PF3D7_0519800,210,8
PF3D7_0519900,278,7
PF3D7_0520000,9,1
PF3D7_0520100,264,13
PF3D7_0520200,326,13
PF3D7_0520300,17,2
PF3D7_0520400,70,4
PF3D7_0520500,47,1
PF3D7_0520600,45,3
PF3D7_0520700,473,23
PF3D7_0520800,755,28
PF3D7_0520900,67,2
PF3D7_0521000,281,12
PF3D7_0521100,461,9
PF3D7_0521200,106,6
PF3D7_0521300,280,8
PF3D7_0521400,156,5
PF3D7_0521500,184,7
PF3D7_0521600,32,2
PF3D7_0521700,263,10
PF3D7_0521800,151,6
PF3D7_0521900,796,18
PF3D7_0522000,9,2
PF3D7_0522100,353,12
PF3D7_0522200,41,2
PF3D7_0522300,67,3
PF3D7_0522400,2982,23
PF3D7_0522500,36,4
PF3D7_0522600,48,5
PF3D7_0522700,96,1
PF3D7_0522800,26,2
PF3D7_0522900,1122,32
PF3D7_0523000,377,35
PF3D7_0523100,95,7
PF3D7_0523200,731,26
PF3D7_0523300,27,1
PF3D7_0523400,82,5
PF3D7_0523500,26,1
PF3D7_0523600,20,2
PF3D7_0523700,901,25
PF3D7_0523800,234,15
PF3D7_0523900,55,2
PF3D7_0524000,49,1
PF3D7_0524100,1100,36
PF3D7_0524200,35,5
PF3D7_0524300,318,23
PF3D7_0524400,14,1
PF3D7_0524500,39,1
PF3D7_0524600,85,6
PF3D7_0524700,28,3
PF3D7_0524800,292,12
PF3D7_0524900,93,7
PF3D7_0525000,544,30
PF3D7_0525100,434,40
PF3D7_0525200,456,5
PF3D7_0525300,184,6
PF3D7_0525400,195,5
PF3D7_0525500,941,23
PF3D7_0525600,201,7
PF3D7_0525700,36,2
PF3D7_0525800,46,6
PF3D7_0525900,155,11
PF3D7_0526000,526,25
PF3D7_0526100,172,6
PF3D7_0526200,349,11
PF3D7_0526300,103,3
PF3D7_0526400,93,3
PF3D7_0526500,560,23
PF3D7_0526600,0,0
PF3D7_0526700,610,22
PF3D7_0526800,169,9
PF3D7_0526900,77,5
PF3D7_0527000,144,6
PF3D7_0527100,8,1
PF3D7_0527200,333,10
PF3D7_0527300,91,3
PF3D7_0527400,103,5
PF3D7_0527500,179,15
